GeneID,gene.rank.h,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT1G24062,1.29442279733601,AT1G24062,1,-1,protein_coding,na
AT1G03810,1.29020661327833,AT1G03810,1,1,protein_coding,na
AT2G07020,1.29011481790315,AT2G07020,2,-1,protein_coding,na
AT5G22160,1.25068393552669,AT5G22160,5,1,protein_coding,na
AT1G54640,1.24770403384237,AT1G54640,1,-1,protein_coding,na
AT5G19640,1.24558050566317,AT5G19640,5,1,protein_coding,na
AT2G01050,1.24539004489448,AT2G01050,2,-1,protein_coding,na
AT3G22000,1.24317436429121,AT3G22000,3,1,protein_coding,na
AT4G35670,1.24170560837848,AT4G35670,4,1,protein_coding,na
AT3G29790,1.2235671874881,AT3G29790,3,-1,protein_coding,na
AT1G60370,1.21538588542137,AT1G60370,1,1,protein_coding,na
AT5G38440,1.19567157825534,AT5G38440,5,1,protein_coding,na
AT5G12030,1.19297006635086,AT-HSP17.6A,5,-1,protein_coding,na
AT2G24617,1.18180293296113,AT2G24617,2,1,protein_coding,na
AT3G03730,1.17480002730623,AT3G03730,3,-1,protein_coding,na
AT3G23145,1.17312068378201,AT3G23145,3,1,protein_coding,na
AT1G62070,1.13462030760702,AT1G62070,1,1,protein_coding,na
AT3G45480,1.1346058997307,AT3G45480,3,-1,protein_coding,na
AT2G04810,1.12700957186145,AT2G04810,2,1,protein_coding,na
AT4G07675,1.12631170768076,AT4G07675,4,-1,protein_coding,na
AT2G38910,1.12214065956515,CPK20,2,-1,protein_coding,na
AT1G60625,1.12062445690583,RALFL6,1,1,protein_coding,na
AT3G53080,1.10336372671011,AT3G53080,3,1,protein_coding,na
AT2G39782,1.10335512953835,AT2G39782,2,-1,protein_coding,na
AT1G79370,1.08916738423342,CYP79C1,1,1,protein_coding,na
AT3G44428,1.05795991724941,AT3G44428,3,-1,protein_coding,na
AT2G33233,1.05745447649113,LCR49,2,-1,protein_coding,na
AT3G29385,1.0416131538061,AT3G29385,3,-1,protein_coding,na
AT3G43490,1.03267153444778,AT3G43490,3,1,protein_coding,na
AT4G12190,1.02264107088436,AT4G12190,4,-1,transcription_factor,C3H
AT4G21000,1.01414662603303,ATACA6,4,1,protein_coding,na
AT5G35917,1.00951903838138,CYP79A3P,5,1,protein_coding,na
AT3G44180,1.0011598729153,AT3G44180,3,1,protein_coding,na
AT3G59455,0.997080719826096,AT3G59455,3,1,protein_coding,na
AT4G10767,0.96897734948043,SCRL21,4,1,protein_coding,na
AT1G43667,0.956524424030854,AT1G43667,1,-1,protein_coding,na
AT5G37280,0.946251403994599,AT5G37280,5,-1,protein_coding,na
AT1G80660,0.934923008113862,HA9,1,-1,protein_coding,na
AT1G54720,0.934886872225362,AT1G54720,1,1,transcription_factor,C2H2
AT1G50530,0.930853514697841,AT1G50530,1,-1,protein_coding,na
AT4G29273,0.925720472002199,LCR23,4,-1,protein_coding,na
AT4G39917,0.918399370938984,LCR45,4,1,protein_coding,na
AT4G13080,0.913370269396024,XTH1,4,-1,protein_coding,na
AT1G34046,0.898093291184552,AT1G34046,1,1,protein_coding,na
AT1G49420,0.895727910275137,AT1G49420,1,-1,protein_coding,na
AT5G04047,0.889764809277396,AT5G04047,5,-1,protein_coding,na
AT1G72290,0.886022046108694,AT1G72290,1,1,protein_coding,na
AT3G23165,0.874457059265652,LCR42,3,-1,protein_coding,na
AT3G58410,0.873259402081371,AT3G58410,3,-1,protein_coding,na
AT3G07830,0.86919162450358,AT3G07830,3,-1,protein_coding,na
AT5G28730,0.86695587926454,AT5G28730,5,1,protein_coding,na
AT1G31370,0.856771567070124,AT1G31370,1,-1,protein_coding,na
AT5G33390,0.853120723950491,AT5G33390,5,1,protein_coding,na
AT5G29624,0.850817782171875,AT5G29624,5,1,protein_coding,na
AT1G66145,0.850524686645212,CLE18,1,-1,protein_coding,na
AT4G29300,0.850456896885315,LCR27,4,-1,protein_coding,na
AT3G22053,0.845284136666643,AT3G22053,3,1,protein_coding,na
AT2G24620,0.839435739777935,AT2G24620,2,-1,protein_coding,na
AT4G08039,0.839187269069691,AT4G08039,4,-1,protein_coding,na
AT1G14048,0.839103747832991,AT1G14048,1,-1,protein_coding,na
AT2G02030,0.836520848197318,AT2G02030,2,1,protein_coding,na
AT2G21727,0.829753611155404,AT2G21727,2,-1,protein_coding,na
AT3G22730,0.827344890840333,AT3G22730,3,-1,protein_coding,na
AT3G48231,0.810432756563336,LCR48,3,-1,protein_coding,na
AT5G24640,0.80679675326996,AT5G24640,5,1,protein_coding,na
AT2G44175,0.801482050661362,AT2G44175,2,1,protein_coding,na
AT4G05240,0.795693345720041,AT4G05240,4,1,protein_coding,na
AT4G03945,0.79531878466402,AT4G03945,4,1,protein_coding,na
AT2G10970,0.788969767161324,AT2G10970,2,-1,protein_coding,na
AT1G24256,0.777770556193616,AT1G24256,1,1,protein_coding,na
AT1G26799,0.77716016875026,AT1G26799,1,1,protein_coding,na
AT2G15325,0.776446235117045,AT2G15325,2,-1,protein_coding,na
AT4G17700,0.773532073470935,AT4G17700,4,1,protein_coding,na
AT1G11520,0.771339478155923,AT1G11520,1,1,protein_coding,na
AT2G12900,0.762906461711995,AT2G12900,2,1,transcription_factor,bZIP
AT1G14940,0.758645756059755,AT1G14940,1,-1,protein_coding,na
AT1G36970,0.751273187966702,AT1G36970,1,-1,protein_coding,na
AT1G52560,0.744497545117071,AT1G52560,1,-1,protein_coding,na
AT5G22180,0.742021871189919,AT5G22180,5,-1,protein_coding,na
AT1G05680,0.732083827802608,UGT74E2,1,-1,protein_coding,na
AT5G39300,0.731552314410984,ATEXPA25,5,-1,protein_coding,na
AT3G52620,0.731172795605679,AT3G52620,3,1,protein_coding,na
AT1G43950,0.729005422487117,ARF23,1,-1,transcription_factor,ARF
AT2G18721,0.72883287059473,AT2G18721,2,1,protein_coding,na
AT2G02795,0.728271721389167,AT2G02795,2,1,protein_coding,na
AT5G20330,0.727002170531483,BETAG4,5,1,protein_coding,na
AT3G28780,0.714667323363369,AT3G28780,3,-1,protein_coding,na
AT1G70680,0.703583000515344,AT1G70680,1,1,protein_coding,na
AT3G18650,0.701041280881076,AGL103,3,-1,transcription_factor,MADS
AT3G21900,0.696632121637935,AT3G21900,3,1,protein_coding,na
AT1G55230,0.696148658664624,AT1G55230,1,1,protein_coding,na
AT5G07420,0.693525566720331,AT5G07420,5,1,protein_coding,na
AT1G21864,0.691896369030512,AT1G21864,1,1,protein_coding,na
AT2G14365,0.686485389198626,LCR84,2,1,protein_coding,na
AT1G50325,0.684544153053716,AT1G50325,1,-1,protein_coding,na
AT1G16950,0.678988323826879,AT1G16950,1,1,protein_coding,na
AT5G23212,0.678926002334339,AT5G23212,5,-1,protein_coding,na
AT1G32361,0.677904455060861,ATL1F,1,1,protein_coding,na
AT1G17180,0.676602560568408,ATGSTU25,1,1,protein_coding,na
AT3G22080,0.674683702069351,AT3G22080,3,-1,protein_coding,na
AT3G43505,0.666864257737184,LCR30,3,-1,protein_coding,na
AT5G36900,0.666103982484262,AT5G36900,5,1,protein_coding,na
AT3G18150,0.664430700047209,AT3G18150,3,1,protein_coding,na
AT1G67775,0.663905904481571,CLE8,1,-1,protein_coding,na
AT1G69180,0.658936874079222,CRC,1,-1,transcription_factor,C2C2-YABBY
AT3G44935,0.652952736988476,AT3G44935,3,1,protein_coding,na
AT3G59845,0.650097125748284,AT3G59845,3,-1,protein_coding,na
AT1G56415,0.643466187633111,AT1G56415,1,1,protein_coding,na
AT5G22970,0.63860334415881,AT5G22970,5,-1,protein_coding,na
AT5G10500,0.637825254253422,AT5G10500,5,1,protein_coding,na
AT2G30810,0.635473141252348,AT2G30810,2,-1,protein_coding,na
AT1G43665,0.635043297784907,AT1G43665,1,-1,protein_coding,na
AT4G01640,0.634267822871514,AT4G01640,4,1,protein_coding,na
AT1G71680,0.633513476474751,AT1G71680,1,1,protein_coding,na
AT2G32785,0.627441976440916,AT2G32785,2,1,protein_coding,na
AT3G21910,0.618598068128051,AT3G21910,3,1,protein_coding,na
AT2G07560,0.606690128458212,AHA6,2,-1,protein_coding,na
AT3G28990,0.604038026063708,AT3G28990,3,-1,protein_coding,na
AT2G04037,0.603253833174344,AT2G04037,2,-1,protein_coding,na
AT1G17170,0.597123070058213,ATGSTU24,1,1,protein_coding,na
AT2G05117,0.593476768774113,SCRL9,2,-1,protein_coding,na
AT3G17550,0.589362272730267,AT3G17550,3,-1,protein_coding,na
AT2G34870,0.588092147650819,MEE26,2,1,protein_coding,na
AT2G33870,0.577626688338903,ArRABA1h,2,-1,protein_coding,na
AT2G12940,0.576459331785687,UNE4,2,1,protein_coding,na
AT3G42830,0.575803101903692,AT3G42830,3,-1,protein_coding,na
AT4G25200,0.568513004918413,ATHSP23.6-MITO,4,1,protein_coding,na
AT2G13620,0.563259379614981,ATCHX15,2,1,protein_coding,na
AT3G25170,0.561738286626899,RALFL26,3,-1,protein_coding,na
AT4G17690,0.561366648777163,AT4G17690,4,1,protein_coding,na
AT2G13980,0.55761175190629,AT2G13980,2,-1,protein_coding,na
AT2G31345,0.555282169037603,AT2G31345,2,-1,protein_coding,na
AT2G42885,0.554740447744855,AT2G42885,2,-1,protein_coding,na
AT3G12000,0.546423439887625,AT3G12000,3,-1,protein_coding,na
AT3G01324,0.545521816405301,AT3G01324,3,-1,protein_coding,na
AT3G22510,0.544819474797833,AT3G22510,3,1,protein_coding,na
AT3G28899,0.541925165164382,AT3G28899,3,1,protein_coding,na
AT4G20790,0.541853672051031,AT4G20790,4,-1,protein_coding,na
AT3G47170,0.535873827156584,AT3G47170,3,-1,protein_coding,na
AT2G33880,0.535640188639487,WOX9,2,-1,transcription_factor,Homeobox
AT3G10990,0.534731754453494,AT3G10990,3,-1,protein_coding,na
AT5G09750,0.532248368413188,HEC3,5,-1,transcription_factor,bHLH
AT2G02103,0.531107262876768,AT2G02103,2,-1,protein_coding,na
AT1G17545,0.525930099316804,AT1G17545,1,1,protein_coding,na
AT4G09090,0.518337538000461,AT4G09090,4,-1,protein_coding,na
AT3G55290,0.5173846828202,AT3G55290,3,1,protein_coding,na
AT5G42410,0.514244943716069,AT5G42410,5,1,protein_coding,na
AT1G30795,0.514145950149456,AT1G30795,1,1,protein_coding,na
AT5G26060,0.512973111467097,AT5G26060,5,-1,protein_coding,na
AT2G39540,0.511784362937146,AT2G39540,2,1,protein_coding,na
AT4G32717,0.511544386372289,SCRL24,4,1,protein_coding,na
AT4G16195,0.51024271175236,AT4G16195,4,-1,protein_coding,na
AT4G16915,0.508598435025509,AT4G16915,4,1,protein_coding,na
AT5G09711,0.508568291992089,AT5G09711,5,-1,protein_coding,na
AT4G12950,0.507861232506159,AT4G12950,4,1,protein_coding,na
AT2G41997,0.507088321032791,LCR51,2,1,protein_coding,na
AT1G48145,0.506457126985554,AT1G48145,1,-1,protein_coding,na
AT3G16895,0.505278076702396,AT3G16895,3,-1,protein_coding,na
AT1G05550,0.504240106979993,AT1G05550,1,-1,protein_coding,na
AT2G32788,0.501499793532806,AT2G32788,2,1,protein_coding,na
AT1G21950,0.498096385822874,AT1G21950,1,-1,protein_coding,na
AT2G14110,0.496011001766724,AT2G14110,2,1,protein_coding,na
AT3G01323,0.492235909052229,AT3G01323,3,-1,protein_coding,na
AT5G18160,0.488242078433901,AT5G18160,5,1,protein_coding,na
AT4G21040,0.48749900444733,AT4G21040,4,-1,transcription_factor,C2C2-Dof
AT2G16130,0.48583084427911,PMT2,2,1,protein_coding,na
AT3G05975,0.483998630122635,AT3G05975,3,-1,protein_coding,na
AT1G32300,0.483054840003554,AT1G32300,1,1,protein_coding,na
AT3G01020,0.480366181648725,ISU2,3,1,protein_coding,na
AT2G25700,0.47275749677289,ASK3,2,-1,protein_coding,na
AT3G14040,0.471467060216471,AT3G14040,3,-1,protein_coding,na
AT1G51210,0.471218468700102,AT1G51210,1,1,protein_coding,na
AT3G60328,0.471008917175078,AT3G60328,3,-1,protein_coding,na
AT3G07840,0.470922643072704,AT3G07840,3,-1,protein_coding,na
AT4G39600,0.469359758786254,AT4G39600,4,-1,protein_coding,na
AT2G04031,0.467372521873571,AT2G04031,2,-1,protein_coding,na
AT1G23420,0.467054084135575,INO,1,1,transcription_factor,C2C2-YABBY
AT1G03070,0.466766988890603,AT1G03070,1,1,protein_coding,na
AT5G17080,0.466697512681943,AT5G17080,5,1,protein_coding,na
AT4G22115,0.465920912343385,SCRL14,4,-1,protein_coding,na
AT5G09550,0.465505260275979,AT5G09550,5,1,protein_coding,na
AT3G24330,0.460484549925227,AT3G24330,3,1,protein_coding,na
AT3G20865,0.459961737154972,AGP40,3,-1,protein_coding,na
AT4G05630,0.459838801714527,AT4G05630,4,-1,protein_coding,na
AT4G33840,0.458733022784023,AT4G33840,4,-1,protein_coding,na
AT1G24010,0.458604707462715,AT1G24010,1,-1,protein_coding,na
AT5G05113,0.456733271136443,AT5G05113,5,-1,protein_coding,na
AT1G61540,0.454798962186856,AT1G61540,1,1,protein_coding,na
AT3G13662,0.453043442999798,AT3G13662,3,1,protein_coding,na
AT5G22980,0.451808857953101,scpl47,5,1,protein_coding,na
AT5G42640,0.449997846204217,AT5G42640,5,1,transcription_factor,C2H2
AT2G19893,0.447778354412791,AT2G19893,2,1,protein_coding,na
AT3G61177,0.447612483791654,LCR53,3,-1,protein_coding,na
AT2G25305,0.443643688693975,AT2G25305,2,-1,protein_coding,na
AT2G45110,0.44147942319854,ATEXPB4,2,1,protein_coding,na
AT1G25330,0.439930062610786,AT1G25330,1,-1,transcription_factor,bHLH
AT2G06541,0.439369402108385,AT2G06541,2,-1,protein_coding,na
AT1G07400,0.438712544042423,AT1G07400,1,1,protein_coding,na
AT3G06220,0.436595532250177,AT3G06220,3,-1,transcription_factor,REM
AT2G20463,0.434446689496318,AT2G20463,2,-1,protein_coding,na
AT4G13266,0.430636876166218,AT4G13266,4,-1,protein_coding,na
AT2G26320,0.429348276764016,AGL33,2,-1,transcription_factor,MADS
AT3G21945,0.428419141672804,AT3G21945,3,1,protein_coding,na
AT4G33710,0.42717294720248,AT4G33710,4,1,protein_coding,na
AT2G21450,0.426683254957772,CHR34,2,-1,protein_coding,na
AT2G04910,0.426042660257405,AT2G04910,2,-1,protein_coding,na
AT3G19274,0.418303353973345,AT3G19274,3,1,protein_coding,na
AT1G10190,0.41727615080978,AT1G10190,1,-1,protein_coding,na
AT3G28620,0.416725965730347,AT3G28620,3,1,protein_coding,na
AT1G35520,0.409283933743822,ARF15,1,-1,transcription_factor,ARF
AT2G29500,0.405624914095446,AT2G29500,2,-1,protein_coding,na
AT4G12890,0.403774740134218,AT4G12890,4,1,protein_coding,na
AT5G09500,0.402785826221579,AT5G09500,5,-1,protein_coding,na
AT4G08260,0.402354744993937,AT4G08260,4,1,protein_coding,na
AT1G77682,0.400811278733167,AT1G77682,1,-1,protein_coding,na
AT2G46360,0.400031778809047,AT2G46360,2,1,protein_coding,na
AT4G19905,0.399367271027789,LCR38,4,-1,protein_coding,na
AT1G26320,0.397177087284054,AT1G26320,1,1,protein_coding,na
AT3G28980,0.397066409503739,AT3G28980,3,-1,protein_coding,na
AT2G02290,0.397066160848162,AT2G02290,2,1,protein_coding,na
AT3G45580,0.396162148809829,AT3G45580,3,-1,protein_coding,na
AT3G58310,0.394630226189909,AT3G58310,3,-1,protein_coding,na
AT3G47650,0.393938117762724,AT3G47650,3,1,protein_coding,na
AT2G15640,0.393602810660886,AT2G15640,2,-1,protein_coding,na
AT4G15980,0.392654905345371,AT4G15980,4,-1,protein_coding,na
AT1G62000,0.391099276496108,AT1G62000,1,1,protein_coding,na
AT2G24615,0.387167210053503,AT2G24615,2,1,protein_coding,na
AT4G35280,0.386994730989421,AT4G35280,4,-1,transcription_factor,C2H2
AT3G45275,0.386153363085951,AT3G45275,3,1,protein_coding,na
AT1G70944,0.384373660717819,AT1G70944,1,-1,protein_coding,na
AT4G04745,0.384210728930502,AT4G04745,4,-1,protein_coding,na
AT1G12665,0.383638521372124,AT1G12665,1,1,protein_coding,na
AT4G40100,0.381641880594328,AT4G40100,4,1,protein_coding,na
AT4G02733,0.38110815180005,AT4G02733,4,-1,protein_coding,na
AT5G07530,0.3790033141509,GRP17,5,-1,protein_coding,na
AT3G03405,0.378785275461937,AT3G03405,3,-1,protein_coding,na
AT5G15430,0.376419657136571,AT5G15430,5,1,protein_coding,na
AT4G11030,0.376261094940161,AT4G11030,4,1,protein_coding,na
AT2G04800,0.371957533058734,AT2G04800,2,-1,protein_coding,na
AT3G49460,0.371401816262289,AT3G49460,3,-1,protein_coding,na
AT3G26140,0.371318062963371,AT3G26140,3,-1,protein_coding,na
AT1G65541,0.370409793138339,AT1G65541,1,1,protein_coding,na
AT4G27980,0.369762595912584,AT4G27980,4,1,protein_coding,na
AT1G23201,0.369621553957917,AT1G23201,1,1,protein_coding,na
AT2G03570,0.369582654322515,AT2G03570,2,-1,protein_coding,na
AT2G14920,0.36917458773428,ATST4A,2,1,protein_coding,na
AT4G17713,0.367968047524584,AT4G17713,4,-1,protein_coding,na
AT1G32280,0.367211858442767,AT1G32280,1,1,protein_coding,na
AT1G77650,0.367030395096803,AT1G77650,1,1,protein_coding,na
AT5G39540,0.366912202784125,AT5G39540,5,-1,transcription_factor,NAC
AT2G24410,0.365905101520168,AT2G24410,2,-1,protein_coding,na
AT2G40995,0.365311127038948,AT2G40995,2,1,protein_coding,na
AT3G55252,0.363402368405868,AT3G55252,3,-1,protein_coding,na
AT1G35910,0.359655209779272,TPPD,1,-1,protein_coding,na
AT3G10595,0.357958133296095,AT3G10595,3,-1,protein_coding,na
AT5G11360,0.35747555903738,AT5G11360,5,-1,protein_coding,na
AT5G05340,0.356171605011392,AT5G05340,5,-1,protein_coding,na
AT1G49930,0.352594233104138,AT1G49930,1,1,protein_coding,na
AT5G03750,0.351570678979869,AT5G03750,5,1,protein_coding,na
AT2G20605,0.350469761841992,AT2G20605,2,1,protein_coding,na
AT1G47450,0.350335000762907,AT1G47450,1,-1,protein_coding,na
AT3G27425,0.349605397984269,AT3G27425,3,1,protein_coding,na
AT3G28790,0.346019780321741,AT3G28790,3,-1,protein_coding,na
AT3G61480,0.345439618291183,AT3G61480,3,1,protein_coding,na
AT1G35850,0.343868552673374,APUM17,1,1,protein_coding,na
AT1G47780,0.343148244749368,AT1G47780,1,1,protein_coding,na
AT2G19850,0.341954768639068,AT2G19850,2,1,protein_coding,na
AT1G53540,0.34172188414422,AT1G53540,1,1,protein_coding,na
AT2G03290,0.341159140443426,AT2G03290,2,1,protein_coding,na
AT5G35688,0.339380096828235,AT5G35688,5,-1,protein_coding,na
AT4G12870,0.339329870671687,AT4G12870,4,1,protein_coding,na
AT2G24400,0.339104748331553,AT2G24400,2,-1,protein_coding,na
AT1G17810,0.338756654455427,BETA-TIP,1,1,protein_coding,na
AT4G14315,0.338339108945951,AT4G14315,4,1,protein_coding,na
AT2G14288,0.3372243916802,AT2G14288,2,-1,protein_coding,na
AT4G29035,0.336265216518124,AT4G29035,4,1,protein_coding,na
AT3G28210,0.333208550043297,PMZ,3,1,transcription_factor,C2H2
AT1G29910,0.332964066504438,CAB3,1,-1,protein_coding,na
AT5G05650,0.332798076578849,AT5G05650,5,-1,protein_coding,na
AT4G18350,0.331589505695261,NCED2,4,1,protein_coding,na
AT5G17130,0.331294609213885,AT5G17130,5,1,protein_coding,na
AT2G04870,0.329408682860065,AT2G04870,2,-1,protein_coding,na
AT1G21940,0.328367698118248,AT1G21940,1,-1,protein_coding,na
AT3G05741,0.327226651125348,AT3G05741,3,-1,protein_coding,na
AT1G70870,0.327042424246397,AT1G70870,1,-1,protein_coding,na
AT5G39310,0.326861009162452,ATEXPA24,5,-1,protein_coding,na
AT3G28500,0.326515096604585,AT3G28500,3,1,protein_coding,na
AT2G17723,0.326399808334969,AT2G17723,2,1,protein_coding,na
AT4G12960,0.326164125266156,GILT,4,1,protein_coding,na
AT2G30985,0.324998819590365,AT2G30985,2,1,protein_coding,na
AT4G11653,0.324913496736729,RALFL29,4,-1,protein_coding,na
AT2G24450,0.32400959740504,FLA3,2,-1,protein_coding,na
AT4G13790,0.323632290129241,AT4G13790,4,-1,protein_coding,na
AT5G25390,0.321491498874959,SHN2,5,1,transcription_factor,AP2-EREBP
AT2G36724,0.321416675640508,AT2G36724,2,1,protein_coding,na
AT3G24068,0.320941414761267,AT3G24068,3,-1,protein_coding,na
AT4G29285,0.320796940229508,LCR24,4,1,protein_coding,na
AT1G51920,0.319464524881797,AT1G51920,1,1,protein_coding,na
AT2G01240,0.318648178820986,AT2G01240,2,-1,protein_coding,na
AT3G45851,0.316417087877542,AT3G45851,3,1,protein_coding,na
AT1G20135,0.316165807925674,AT1G20135,1,1,protein_coding,na
AT2G04041,0.315027236040968,AT2G04041,2,-1,protein_coding,na
AT3G13890,0.314320837714137,MYB26,3,-1,transcription_factor,MYB
AT1G13520,0.312764853542381,AT1G13520,1,-1,protein_coding,na
AT1G30350,0.312666723072919,AT1G30350,1,-1,protein_coding,na
AT1G52790,0.312344368202926,AT1G52790,1,-1,protein_coding,na
AT1G61680,0.310046419919589,TPS14,1,-1,protein_coding,na
AT5G39220,0.309683226190308,AT5G39220,5,1,protein_coding,na
AT4G03590,0.309366126353496,AT4G03590,4,-1,protein_coding,na
AT2G36450,0.309355672239711,HRD,2,-1,transcription_factor,AP2-EREBP
AT3G56610,0.309159123447563,AT3G56610,3,-1,protein_coding,na
AT1G56100,0.308746261666088,AT1G56100,1,-1,protein_coding,na
AT1G19260,0.308571357812621,AT1G19260,1,-1,protein_coding,na
AT3G05460,0.30827027682102,AT3G05460,3,1,protein_coding,na
AT4G08670,0.306979742405807,AT4G08670,4,-1,protein_coding,na
AT1G10717,0.305787543876072,AT1G10717,1,1,protein_coding,na
AT2G03300,0.30570374252906,AT2G03300,2,-1,protein_coding,na
AT2G15535,0.304100184235931,LCR10,2,1,protein_coding,na
AT2G26610,0.301995784924766,AT2G26610,2,1,protein_coding,na
AT3G06320,0.301981776636905,AT3G06320,3,1,protein_coding,na
AT5G41440,0.301706475650192,AT5G41440,5,-1,transcription_factor,C3H
AT2G01800,0.301399453977781,AT2G01800,2,-1,protein_coding,na
AT3G25750,0.299303766682187,AT3G25750,3,1,protein_coding,na
AT3G61400,0.298061446356069,AT3G61400,3,1,protein_coding,na
AT5G38195,0.297889601604435,AT5G38195,5,1,protein_coding,na
AT4G09960,0.296712253284829,STK,4,-1,transcription_factor,MADS
AT3G04545,0.296629786645604,AT3G04545,3,1,protein_coding,na
AT1G44542,0.296494347222286,AT1G44542,1,-1,protein_coding,na
AT2G16592,0.295690839025447,AT2G16592,2,1,protein_coding,na
AT5G07225,0.295253139538655,AT5G07225,5,-1,protein_coding,na
AT3G29570,0.294228466101112,AT3G29570,3,-1,protein_coding,na
AT2G05185,0.293900395527577,AT2G05185,2,1,protein_coding,na
AT5G39490,0.293706197782553,AT5G39490,5,-1,protein_coding,na
AT4G16515,0.293145452331008,RGF6,4,-1,protein_coding,na
AT4G09110,0.293004738455949,AT4G09110,4,1,protein_coding,na
AT4G23580,0.29220390330935,AT4G23580,4,-1,protein_coding,na
AT3G19880,0.291522347291682,AT3G19880,3,-1,protein_coding,na
AT3G48270,0.291409391390382,CYP71A26,3,1,protein_coding,na
AT2G22320,0.290989537059292,AT2G22320,2,1,protein_coding,na
AT1G21395,0.290037297014599,AT1G21395,1,1,protein_coding,na
AT1G16705,0.289574383674958,AT1G16705,1,1,protein_coding,na
AT1G24575,0.288982292144751,AT1G24575,1,-1,protein_coding,na
AT5G07490,0.28853196409189,AT5G07490,5,1,protein_coding,na
AT5G07510,0.288097038503373,GRP14,5,-1,protein_coding,na
AT1G68090,0.287306698994439,ANNAT5,1,-1,protein_coding,na
AT2G14000,0.286984860561284,AT2G14000,2,-1,protein_coding,na
AT1G77815,0.286638061619215,AT1G77815,1,-1,protein_coding,na
AT1G64830,0.285727495120899,AT1G64830,1,-1,protein_coding,na
AT4G12617,0.285061485009101,AT4G12617,4,1,protein_coding,na
AT4G26590,0.283894961197039,ATOPT5,4,-1,protein_coding,na
AT3G44704,0.282356074589877,AT3G44704,3,-1,protein_coding,na
AT3G51070,0.282330904990377,AT3G51070,3,1,protein_coding,na
AT5G23035,0.282033713003937,AT5G23035,5,-1,protein_coding,na
AT2G13720,0.281882433771026,AT2G13720,2,1,protein_coding,na
AT1G26480,0.281564487481434,GRF12,1,-1,protein_coding,na
AT4G23780,0.281235234539984,AT4G23780,4,-1,protein_coding,na
AT2G15180,0.280931647763193,AT2G15180,2,-1,protein_coding,na
