GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT5G23280,1,TCP7,5,1,transcription_factor,TCP
AT5G23930,1,AT5G23930,5,-1,protein_coding,na
AT5G25190,1,ERF003,5,-1,transcription_factor,AP2-EREBP
AT5G39820,1,ANAC094,5,-1,transcription_factor,NAC
AT5G41570,1,WRKY24,5,1,transcription_factor,WRKY
AT5G45300,1,BMY2,5,1,protein_coding,na
AT5G46590,1,anac096,5,1,transcription_factor,NAC
AT5G47220,1,ERF2,5,-1,transcription_factor,AP2-EREBP
AT5G47230,1,ERF5,5,1,transcription_factor,AP2-EREBP
AT5G50670,1,SPL13A,5,-1,protein_coding,na
AT5G52020,1,ERF025,5,-1,transcription_factor,AP2-EREBP
AT5G52660,1,RVE6,5,-1,transcription_factor,MYB-related
AT5G54230,1,MYB49,5,-1,transcription_factor,MYB
AT5G56110,1,MYB80,5,1,transcription_factor,MYB
AT5G58850,1,ATMYB119,5,1,transcription_factor,MYB
AT5G59430,1,TRP1,5,1,transcription_factor,MYB-related
AT5G61620,1,AT5G61620,5,1,transcription_factor,MYB-related
AT5G62020,1,HSFB2A,5,1,transcription_factor,HSF
AT5G62470,1,MYB96,5,-1,transcription_factor,MYB
AT5G63260,1,AT5G63260,5,1,protein_coding,na
AT5G64060,1,anac103,5,-1,transcription_factor,NAC
AT5G65410,1,ZHD1,5,1,transcription_factor,ZF-HD
AT5G65510,1,AIL7,5,1,transcription_factor,AP2-EREBP
AT5G66730,1,IDD1,5,-1,transcription_factor,C2H2
AT5G67580,1,TRB2,5,-1,transcription_factor,MYB-related
AT1G69570,1,CDF5,1,-1,transcription_factor,C2C2-Dof
AT5G56840,0.999999999999999,AT5G56840,5,1,transcription_factor,MYB-related
AT3G48190,0.999999999999964,ATM,3,1,protein_coding,na
AT1G09540,0.999999999999883,MYB61,1,1,transcription_factor,MYB
AT4G35240,0.999999999999299,AT4G35240,4,-1,protein_coding,na
AT1G77920,0.999999999998405,TGA7,1,1,transcription_factor,bZIP
AT2G23760,0.999999999997538,BLH4,2,-1,transcription_factor,Homeobox
AT4G36870,0.9999999999724,BLH2,4,1,transcription_factor,Homeobox
AT1G12240,0.99999999996762,BFRUCT4,1,1,protein_coding,na
AT1G69490,0.999999999965214,NAC029,1,1,transcription_factor,NAC
AT3G09922,0.999999999951815,IPS1,3,1,protein_coding,na
AT1G67120,0.999999999900909,MDN1,1,-1,protein_coding,na
AT5G29000,0.999999999867842,PHL1,5,-1,transcription_factor,G2-like
AT5G18450,0.999999999862435,DREB2G,5,-1,transcription_factor,AP2-EREBP
AT1G22810,0.999999999808051,ERF019,1,-1,transcription_factor,AP2-EREBP
AT4G36620,0.999999999794329,GATA19,4,-1,transcription_factor,C2C2-Gata
AT1G48090,0.999999999720361,AT1G48090,1,-1,protein_coding,na
AT5G21105,0.999999999718101,AT5G21105,5,1,protein_coding,na
AT2G45680,0.999999999662211,TCP9,2,-1,transcription_factor,TCP
AT3G07250,0.99999999952486,AT3G07250,3,-1,protein_coding,na
AT1G13450,0.999999999517564,GT-1,1,-1,transcription_factor,Trihelix
AT5G23110,0.99999999944606,AT5G23110,5,1,protein_coding,na
AT3G22400,0.999999999437709,LOX5,3,1,protein_coding,na
AT3G17730,0.999999999351169,anac057,3,1,transcription_factor,NAC
AT2G38110,0.99999999926956,GPAT6,2,-1,protein_coding,na
AT3G03260,0.999999999172748,HDG8,3,-1,transcription_factor,Homeobox
AT1G64060,0.99999999731355,RBOHF,1,1,protein_coding,na
AT2G46880,0.999999996923685,PAP14,2,-1,protein_coding,na
AT3G45780,0.999999996867311,PHOT1,3,1,protein_coding,na
AT1G69870,0.999999996259939,NPF2.13,1,1,protein_coding,na
AT1G34190,0.999999995934128,NAC017,1,1,transcription_factor,NAC
AT1G27100,0.99999999545952,AT1G27100,1,-1,protein_coding,na
AT5G41410,0.999999995301686,BEL1,5,1,transcription_factor,Homeobox
AT5G04310,0.999999992217243,AT5G04310,5,-1,protein_coding,na
AT1G17745,0.999999992202101,PGDH,1,1,protein_coding,na
AT5G19790,0.999999991827658,RAP2-11,5,-1,transcription_factor,AP2-EREBP
AT1G30650,0.999999991035703,WRKY14,1,1,transcription_factor,WRKY
AT3G21230,0.999999989932854,4CL4,3,-1,protein_coding,na
AT4G31060,0.99999998869013,ERF015,4,1,transcription_factor,AP2-EREBP
AT1G02640,0.99999998291019,BXL2,1,1,protein_coding,na
AT1G31290,0.999999980096415,AGO3,1,1,protein_coding,na
AT1G64110,0.999999976427586,AT1G64110,1,-1,protein_coding,na
AT3G25240,0.999999961696002,AT3G25240,3,1,protein_coding,na
AT4G15530,0.999999958839651,PPDK,4,-1,protein_coding,na
AT4G25470,0.999999947707931,DREB1C,4,-1,transcription_factor,AP2-EREBP
AT3G05630,0.999999936383858,PLPZETA2,3,1,protein_coding,na
AT3G03440,0.999999928792945,AT3G03440,3,1,protein_coding,na
AT2G23340,0.999999910265808,ERF008,2,1,transcription_factor,AP2-EREBP
AT5G20280,0.999999869404004,SPS1,5,-1,protein_coding,na
AT1G12110,0.99999981781831,NPF6.3,1,1,protein_coding,na
AT5G13250,0.999999815094736,AT5G13250,5,1,protein_coding,na
AT4G02780,0.999999798898336,GA1,4,-1,protein_coding,na
AT5G22090,0.999999762066034,AT5G22090,5,-1,protein_coding,na
AT4G25960,0.999999758011739,ABCB2,4,1,protein_coding,na
AT3G18950,0.999999726285001,AT3G18950,3,1,protein_coding,na
AT1G50640,0.999999682460866,ERF3,1,-1,transcription_factor,AP2-EREBP
AT1G30400,0.999999670844829,ABCC1,1,1,protein_coding,na
AT5G20790,0.999999657861183,AT5G20790,5,-1,protein_coding,na
AT5G67190,0.99999962836694,ERF010,5,-1,transcription_factor,AP2-EREBP
AT4G32410,0.999999605861039,CESA1,4,-1,protein_coding,na
AT5G51190,0.999999553677406,ERF105,5,-1,transcription_factor,AP2-EREBP
AT5G26340,0.999999507375605,STP13,5,-1,protein_coding,na
AT1G11260,0.9999994919088,STP1,1,1,protein_coding,na
AT2G27120,0.999999466295567,POL2B,2,1,protein_coding,na
AT2G38470,0.999999448638803,WRKY33,2,1,transcription_factor,WRKY
AT3G22410,0.999999320119386,AT3G22410,3,-1,protein_coding,na
AT2G33170,0.999999284981404,AT2G33170,2,-1,protein_coding,na
AT5G06530,0.999999216683752,ABCG22,5,-1,protein_coding,na
AT1G69860,0.99999914286916,NPF2.14,1,1,protein_coding,na
AT3G44610,0.999999138320344,AT3G44610,3,-1,protein_coding,na
AT4G23700,0.999999115241724,CHX17,4,-1,protein_coding,na
AT3G26610,0.999998965465396,AT3G26610,3,1,protein_coding,na
AT3G60110,0.999998960850571,AT3G60110,3,1,protein_coding,na
AT1G06490,0.999998943043132,CALS7,1,1,protein_coding,na
AT1G50030,0.999998800740936,TOR,1,-1,protein_coding,na
AT1G01320,0.999998782574654,AT1G01320,1,-1,protein_coding,na
AT3G10340,0.999998525841265,PAL4,3,1,protein_coding,na
AT2G36810,0.999998324503611,SGR6,2,-1,protein_coding,na
AT1G71040,0.999998311571548,LPR2,1,-1,protein_coding,na
AT3G24460,0.999998233270455,AT3G24460,3,-1,protein_coding,na
AT2G45540,0.999997965065568,BCHC2,2,-1,protein_coding,na
AT1G05300,0.999997920964371,ZIP5,1,-1,protein_coding,na
AT5G35770,0.999997911171403,SAP,5,-1,protein_coding,na
AT5G16280,0.999997796917668,AT5G16280,5,-1,protein_coding,na
AT2G11810,0.999997652965067,MGD3,2,1,protein_coding,na
AT2G25730,0.999997603429863,AT2G25730,2,-1,protein_coding,na
AT1G23110,0.999997427803394,AT1G23110,1,-1,protein_coding,na
AT5G37500,0.999997414931291,GORK,5,-1,protein_coding,na
AT4G32800,0.999997389301083,ERF043,4,1,transcription_factor,AP2-EREBP
AT5G20540,0.999997334858971,BRXL4,5,1,protein_coding,na
AT3G14310,0.999997281986351,PME3,3,-1,protein_coding,na
AT1G64390,0.999997272501009,AtGH9C2,1,1,protein_coding,na
AT2G29090,0.999997082758009,CYP707A2,2,-1,protein_coding,na
AT2G24260,0.999996201012149,BHLH66,2,-1,transcription_factor,bHLH
AT2G19500,0.999996036818671,CKX2,2,-1,protein_coding,na
AT3G19050,0.999995872431093,KIN12D,3,1,protein_coding,na
AT2G42460,0.999995826879526,AT2G42460,2,-1,protein_coding,na
AT2G32800,0.999995642610272,LECRKS2,2,1,protein_coding,na
AT3G52430,0.999995628935593,PAD4,3,1,protein_coding,na
AT1G52940,0.999995520457475,PAP5,1,1,protein_coding,na
AT3G53720,0.999995514120245,CHX20,3,-1,protein_coding,na
AT1G66880,0.999995311272107,AT1G66880,1,1,protein_coding,na
AT1G64790,0.999995167787405,ILA,1,-1,protein_coding,na
AT5G65210,0.999994865566496,TGA1,5,1,transcription_factor,bZIP
AT2G07981,0.999994864058288,AT2G07981,2,1,protein_coding,na
AT4G34480,0.999994735526377,AT4G34480,4,-1,protein_coding,na
AT1G01120,0.999994708874296,KCS1,1,-1,protein_coding,na
AT2G41700,0.999993490149898,ABCA1,2,-1,protein_coding,na
AT4G20050,0.999992800414942,QRT3,4,-1,protein_coding,na
AT2G17930,0.999992585836384,AT2G17930,2,-1,protein_coding,na
AT4G21750,0.999992187093987,ATML1,4,1,transcription_factor,Homeobox
AT2G07280,0.999991546916792,AT2G07280,2,1,protein_coding,na
AT5G20320,0.999990691651576,DCL4,5,-1,protein_coding,na
AT3G09220,0.999990289326634,LAC7,3,-1,protein_coding,na
AT1G23390,0.999989951759975,AT1G23390,1,-1,protein_coding,na
AT3G16510,0.999989668002444,AT3G16510,3,-1,protein_coding,na
AT1G17710,0.999989561143453,AT1G17710,1,-1,protein_coding,na
AT3G62700,0.999989348997838,ABCC14,3,-1,protein_coding,na
AT2G45130,0.999988726502594,SPX3,2,1,protein_coding,na
AT5G03760,0.999988066190111,CSLA9,5,-1,protein_coding,na
AT5G21482,0.999987762826775,CKX7,5,1,protein_coding,na
AT2G28290,0.999986635060393,SYD,2,1,protein_coding,na
AT3G30842,0.999985814385319,ABCG38,3,-1,protein_coding,na
AT1G04680,0.999985235679146,AT1G04680,1,-1,protein_coding,na
AT3G16340,0.999985120268287,ABCG29,3,1,protein_coding,na
AT4G19970,0.999985084029531,AT4G19970,4,1,protein_coding,na
AT1G03445,0.999984915538638,BSU1,1,-1,protein_coding,na
AT4G18670,0.999984658553656,LRX5,4,-1,transcription_factor,Trihelix
AT4G00300,0.999984463866638,AT4G00300,4,1,protein_coding,na
AT5G39000,0.999984185199155,AT5G39000,5,1,protein_coding,na
AT3G56850,0.999981838464989,DPBF3,3,-1,transcription_factor,bZIP
AT2G04160,0.999981511026526,AIR3,2,-1,protein_coding,na
AT2G29940,0.999980209688068,ABCG31,2,1,protein_coding,na
AT5G10340,0.999980120910271,AT5G10340,5,1,protein_coding,na
AT4G02940,0.999979701769019,AT4G02940,4,1,protein_coding,na
AT5G05560,0.999978581460312,EMB2771,5,1,protein_coding,na
AT2G28500,0.999977665648469,LBD11,2,-1,protein_coding,na
AT5G24740,0.99997750853723,AT5G24740,5,-1,protein_coding,na
AT4G00360,0.99997726200815,CYP86A2,4,1,protein_coding,na
AT3G11420,0.999977009339418,AT3G11420,3,1,protein_coding,na
AT4G18050,0.999975163582219,PGP9,4,1,protein_coding,na
AT3G51290,0.9999744122436,AT3G51290,3,1,protein_coding,na
AT1G05570,0.999974190004154,CALS1,1,-1,protein_coding,na
AT2G36910,0.999974002403134,ABCB1,2,1,protein_coding,na
AT4G39420,0.999972736837068,AT4G39420,4,1,protein_coding,na
AT3G01080,0.999969201773493,WRKY58,3,1,transcription_factor,WRKY
AT4G17710,0.999967448286782,HDG4,4,-1,transcription_factor,Homeobox
AT1G43160,0.999967360113623,RAP2-6,1,1,transcription_factor,AP2-EREBP
AT4G10060,0.999967358674792,AT4G10060,4,1,protein_coding,na
AT2G01905,0.999966115327095,CYCJ18,2,1,protein_coding,na
AT1G53430,0.999961773890382,AT1G53430,1,1,protein_coding,na
AT4G31900,0.999961134320032,CHR7,4,1,protein_coding,na
AT2G35940,0.999961043041807,BLH1,2,-1,transcription_factor,Homeobox
AT3G45130,0.999960429262468,LAS1,3,-1,protein_coding,na
AT2G46560,0.999959136882116,AT2G46560,2,-1,protein_coding,na
AT3G49220,0.999959131059247,AT3G49220,3,1,protein_coding,na
AT1G75710,0.999958040544144,AT1G75710,1,1,transcription_factor,C2H2
AT5G41315,0.999957735484913,GL3,5,1,transcription_factor,bHLH
AT3G07160,0.999957308894267,ATGSL10,3,-1,protein_coding,na
AT4G21120,0.999956397560023,CAT1,4,1,protein_coding,na
AT4G02480,0.999955756693639,AT4G02480,4,-1,protein_coding,na
AT1G77110,0.999953555041629,PIN6,1,1,protein_coding,na
AT3G57830,0.999953112913703,AT3G57830,3,1,protein_coding,na
AT1G76360,0.999945651367106,AT1G76360,1,-1,protein_coding,na
AT3G25610,0.999944871030788,ALA10,3,-1,protein_coding,na
AT5G40390,0.999943506572994,RFS5,5,1,protein_coding,na
AT1G56500,0.999943489966815,SOQ1,1,1,protein_coding,na
AT5G36870,0.999943380130482,CALS4,5,1,protein_coding,na
AT1G70710,0.999941961977776,CEL1,1,-1,protein_coding,na
AT2G36080,0.999940564524355,ARF31,2,-1,transcription_factor,RAV
AT3G50380,0.9999385530897,AT3G50380,3,-1,protein_coding,na
AT1G55325,0.999937642456569,GCT,1,1,protein_coding,na
AT1G63650,0.999935467460099,BHLH2,1,1,transcription_factor,bHLH
AT2G31990,0.99993506002183,AT2G31990,2,-1,protein_coding,na
AT3G14840,0.999934546831155,LRR-RLK,3,1,protein_coding,na
AT4G18570,0.99993120854334,AT4G18570,4,1,protein_coding,na
AT1G55120,0.999928141392383,CWINV3,1,1,protein_coding,na
AT3G46280,0.9999280187389,AT3G46280,3,-1,protein_coding,na
AT4G36350,0.999926793640338,PAP25,4,-1,protein_coding,na
AT4G36990,0.999925411515493,HSFB1,4,1,transcription_factor,HSF
AT2G17060,0.999923785898445,AT2G17060,2,1,protein_coding,na
AT4G19520,0.999923616779048,AT4G19520,4,-1,protein_coding,na
AT4G02660,0.999923368881722,AT4G02660,4,-1,protein_coding,na
AT4G13100,0.999920668985953,AT4G13100,4,-1,transcription_factor,C3H
AT4G39850,0.99992030674487,PXA1,4,1,protein_coding,na
AT5G40780,0.999915159314124,LHT1,5,1,protein_coding,na
AT1G77760,0.99991485628509,NIA1,1,-1,protein_coding,na
AT1G51870,0.999913573087245,AT1G51870,1,-1,protein_coding,na
AT4G10960,0.99990648662785,UGE5,4,-1,protein_coding,na
AT1G77930,0.999905975812702,AT1G77930,1,1,protein_coding,na
AT5G43870,0.999904013387585,AT5G43870,5,-1,protein_coding,na
AT3G02260,0.99990400593838,BIG,3,-1,protein_coding,na
AT5G14730,0.99990254059468,AT5G14730,5,1,protein_coding,na
AT1G14780,0.999899855922942,AT1G14780,1,1,protein_coding,na
AT1G58250,0.999898939858394,SAB,1,-1,protein_coding,na
AT5G01100,0.999895913848485,FRB1,5,-1,protein_coding,na
AT1G65130,0.999895312384493,AT1G65130,1,-1,transcription_factor,C2H2
AT1G10020,0.999893945370476,AT1G10020,1,-1,protein_coding,na
AT5G25280,0.999889394594986,AT5G25280,5,1,protein_coding,na
AT1G51680,0.999889024294302,4CL1,1,-1,protein_coding,na
AT4G00800,0.999880188335319,AT4G00800,4,-1,protein_coding,na
AT5G28300,0.9998783867395,AT5G28300,5,-1,transcription_factor,Trihelix
AT3G19620,0.999875125616902,BXL5,3,-1,protein_coding,na
AT3G61680,0.999874977729292,AT3G61680,3,1,protein_coding,na
AT3G28430,0.999873800661211,AT3G28430,3,-1,protein_coding,na
AT3G18830,0.999870514391517,PLT5,3,-1,protein_coding,na
AT3G12980,0.999868809622377,HAC5,3,1,protein_coding,na
AT2G28080,0.999866768425639,UGT86A2,2,-1,protein_coding,na
AT5G21030,0.999866616649277,AT5G21030,5,-1,protein_coding,na
AT4G36170,0.999865437477848,AT4G36170,4,1,protein_coding,na
AT4G17140,0.999865378176052,AT4G17140,4,-1,protein_coding,na
AT4G39940,0.999864545684744,APK2,4,1,protein_coding,na
AT5G42250,0.999862096921545,AT5G42250,5,1,protein_coding,na
AT2G44990,0.999852487914494,CCD7,2,1,protein_coding,na
AT1G21580,0.999850216806711,AT1G21580,1,-1,protein_coding,na
AT4G18250,0.999842311098234,AT4G18250,4,-1,protein_coding,na
AT4G28080,0.99984186265105,TSS,4,-1,protein_coding,na
AT3G05470,0.999835667482315,FH11,3,-1,protein_coding,na
AT1G28390,0.999832353222332,AT1G28390,1,-1,protein_coding,na
AT2G41240,0.999828687363695,BHLH100,2,-1,transcription_factor,bHLH
AT4G18020,0.999826421554252,APRR2,4,-1,transcription_factor,G2-like
AT2G05810,0.999824757533672,AT2G05810,2,-1,protein_coding,na
AT5G17810,0.999806764373498,WOX12,5,-1,transcription_factor,Homeobox
