GeneID,gene.rank.eff,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT2G36270,1,ABI5,2,-1,transcription_factor,bZIP
AT2G37590,1,DOF2.4,2,1,transcription_factor,C2C2-Dof
AT2G38340,1,DREB2E,2,-1,transcription_factor,AP2-EREBP
AT2G40620,1,BZIP18,2,-1,transcription_factor,bZIP
AT2G43000,1,JUB1,2,-1,transcription_factor,NAC
AT2G45410,1,LBD19,2,-1,protein_coding,na
AT2G45420,1,LBD18,2,1,protein_coding,na
AT2G45680,1,TCP9,2,-1,transcription_factor,TCP
AT2G46270,1,GBF3,2,1,transcription_factor,bZIP
AT2G46590,1,DOF2.5,2,1,transcription_factor,C2C2-Dof
AT2G46770,1,NAC043,2,-1,transcription_factor,NAC
AT3G01970,1,WRKY45,3,-1,transcription_factor,WRKY
AT3G02940,1,MYB107,3,1,transcription_factor,MYB
AT3G03200,1,NAC045,3,-1,transcription_factor,NAC
AT3G04060,1,anac046,3,-1,transcription_factor,NAC
AT3G06490,1,MYB108,3,1,transcription_factor,MYB
AT3G09735,1,S1FA3,3,-1,protein_coding,na
AT3G10030,1,AT3G10030,3,-1,protein_coding,na
AT3G10500,1,NAC053,3,1,transcription_factor,NAC
AT3G11280,1,AT3G11280,3,-1,transcription_factor,MYB-related
AT3G11440,1,ATMYB65,3,1,transcription_factor,MYB
AT3G15270,1,SPL5,3,-1,transcription_factor,SBP
AT3G20310,1,ERF7,3,-1,transcription_factor,AP2-EREBP
AT3G21890,1,MIP1B,3,-1,transcription_factor,C2C2-CO-like
AT3G23220,1,ERF095,3,1,transcription_factor,AP2-EREBP
AT3G26790,1,FUS3,3,-1,transcription_factor,ABI3VP1
AT3G27010,1,TCP20,3,-1,transcription_factor,TCP
AT3G30210,1,ATMYB121,3,1,transcription_factor,MYB
AT3G45610,1,DOF3.2,3,-1,transcription_factor,C2C2-Dof
AT3G49530,1,NAC062,3,-1,transcription_factor,NAC
AT3G50410,1,DOF3.4,3,1,transcription_factor,C2C2-Dof
AT3G53200,1,MYB27,3,-1,transcription_factor,MYB
AT3G56850,1,DPBF3,3,-1,transcription_factor,bZIP
AT3G60530,1,GATA4,3,1,transcription_factor,C2C2-Gata
AT3G60580,1,ZAT9,3,1,transcription_factor,C2H2
AT4G00250,1,STKL2,4,-1,transcription_factor,GeBP
AT4G01280,1,RVE5,4,1,transcription_factor,MYB-related
AT4G10350,1,BRN2,4,-1,transcription_factor,NAC
AT4G11660,1,HSFB2B,4,1,transcription_factor,HSF
AT4G15090,1,FAR1,4,1,protein_coding,na
AT4G18890,1,BEH3,4,1,transcription_factor,BZR
AT4G24240,1,WRKY7,4,1,transcription_factor,WRKY
AT4G25490,1,DREB1B,4,-1,transcription_factor,AP2-EREBP
AT4G26640,1,WRKY20,4,-1,transcription_factor,WRKY
AT4G31800,1,WRKY18,4,1,transcription_factor,WRKY
AT4G36780,1,BEH2,4,-1,transcription_factor,BZR
AT4G37260,1,MYB73,4,1,transcription_factor,MYB
AT4G38170,1,FRS9,4,1,protein_coding,na
AT5G01380,1,GT-3A,5,-1,transcription_factor,Trihelix
AT5G02320,1,MYB3R5,5,-1,transcription_factor,MYB
AT5G02460,1,DOF5.1,5,-1,transcription_factor,C2C2-Dof
AT5G02840,1,RVE4,5,1,transcription_factor,MYB-related
AT5G04410,1,NAC078,5,1,transcription_factor,NAC
AT5G06839,1,TGA10,5,1,protein_coding,na
AT5G08330,1,TCP21,5,1,transcription_factor,TCP
AT5G09410,1,EICBP.B,5,1,transcription_factor,CAMTA
AT5G10030,1,TGA4,5,-1,transcription_factor,bZIP
AT5G11510,1,MYB3R4,5,1,transcription_factor,MYB
AT5G13180,1,NAC083,5,1,transcription_factor,NAC
AT5G13790,1,AGL15,5,-1,transcription_factor,MADS
AT5G16820,1,HSFA1B,5,1,transcription_factor,HSF
AT5G17800,1,MYB56,5,1,transcription_factor,MYB
AT5G18450,1,DREB2G,5,-1,transcription_factor,AP2-EREBP
AT5G19790,1,RAP2-11,5,-1,transcription_factor,AP2-EREBP
AT5G22990,1,AT5G22990,5,-1,transcription_factor,C2H2
AT5G23280,1,TCP7,5,1,transcription_factor,TCP
AT5G26170,1,WRKY50,5,-1,transcription_factor,WRKY
AT5G41570,1,WRKY24,5,1,transcription_factor,WRKY
AT5G47220,1,ERF2,5,-1,transcription_factor,AP2-EREBP
AT5G47230,1,ERF5,5,1,transcription_factor,AP2-EREBP
AT5G51190,1,ERF105,5,-1,transcription_factor,AP2-EREBP
AT5G51990,1,DREB1D,5,-1,transcription_factor,AP2-EREBP
AT5G52020,1,ERF025,5,-1,transcription_factor,AP2-EREBP
AT5G52660,1,RVE6,5,-1,transcription_factor,MYB-related
AT5G54230,1,MYB49,5,-1,transcription_factor,MYB
AT5G58850,1,ATMYB119,5,1,transcription_factor,MYB
AT5G61620,1,AT5G61620,5,1,transcription_factor,MYB-related
AT5G62000,1,ARF2,5,1,protein_coding,na
AT5G62940,1,DOF5.6,5,-1,transcription_factor,C2C2-Dof
AT5G63090,1,LOB,5,-1,protein_coding,na
AT5G63260,1,AT5G63260,5,1,protein_coding,na
AT5G64060,1,anac103,5,-1,transcription_factor,NAC
AT5G65130,1,AT5G65130,5,1,transcription_factor,AP2-EREBP
AT5G65210,1,TGA1,5,1,transcription_factor,bZIP
AT5G66700,1,ATHB-53,5,1,transcription_factor,Homeobox
AT5G66730,1,IDD1,5,-1,transcription_factor,C2H2
AT5G67580,1,TRB2,5,-1,transcription_factor,MYB-related
AT2G02450,1,NAC035,2,1,transcription_factor,NAC
AT3G56400,1,WRKY70,3,-1,transcription_factor,WRKY
AT1G18330,1,RVE7,1,-1,transcription_factor,MYB-related
AT5G14960,0.999999999999999,E2FD,5,1,transcription_factor,E2F-DP
AT4G25480,0.999999999999998,DREB1A,4,-1,transcription_factor,AP2-EREBP
AT5G23930,0.999999999999996,AT5G23930,5,-1,protein_coding,na
AT1G19850,0.999999999999991,ARF5,1,1,transcription_factor,ARF
AT4G16150,0.999999999999981,AT4G16150,4,1,transcription_factor,CAMTA
AT1G20980,0.999999999999962,SPL14,1,1,transcription_factor,SBP
AT4G20220,0.999999999999946,AT4G20220,4,1,protein_coding,na
AT5G59430,0.999999999999856,TRP1,5,1,transcription_factor,MYB-related
AT5G39760,0.999999999999658,ZHD10,5,1,transcription_factor,ZF-HD
AT1G29280,0.999999999995562,WRKY65,1,1,transcription_factor,WRKY
AT1G28470,0.999999999993265,NAC010,1,1,transcription_factor,NAC
AT4G36740,0.999999999989838,HB-5,4,-1,transcription_factor,Homeobox
AT2G18160,0.999999999979896,BZIP2,2,-1,transcription_factor,bZIP
AT5G65410,0.999999999971808,ZHD1,5,1,transcription_factor,ZF-HD
AT3G09922,0.999999999969776,IPS1,3,1,protein_coding,na
AT1G77200,0.999999999951977,ERF037,1,-1,transcription_factor,AP2-EREBP
AT2G38470,0.999999999938734,WRKY33,2,1,transcription_factor,WRKY
AT5G65510,0.999999999920111,AIL7,5,1,transcription_factor,AP2-EREBP
AT3G50060,0.999999999906043,MYB77,3,-1,transcription_factor,MYB
AT3G10113,0.999999999902424,RVE7L,3,-1,transcription_factor,MYB-related
AT4G18880,0.999999999597747,HSFA4A,4,-1,transcription_factor,HSF
AT5G06100,0.999999999509386,MYB33,5,1,transcription_factor,MYB
AT5G67190,0.999999994585867,ERF010,5,-1,transcription_factor,AP2-EREBP
AT1G75390,0.999999994309193,BZIP44,1,1,transcription_factor,bZIP
AT1G75240,0.999999993170965,ZHD5,1,1,transcription_factor,ZF-HD
AT1G53910,0.999999990445185,RAP2-12,1,1,transcription_factor,AP2-EREBP
AT3G25240,0.999999986431319,AT3G25240,3,1,protein_coding,na
AT1G65910,0.999999986290948,anac028,1,-1,transcription_factor,NAC
AT4G01250,0.999999949827179,WRKY22,4,-1,transcription_factor,WRKY
AT3G24120,0.999999937731278,AT3G24120,3,-1,transcription_factor,G2-like
AT2G23320,0.999999917631477,WRKY15,2,1,transcription_factor,WRKY
AT5G04390,0.999999870772512,AT5G04390,5,1,transcription_factor,C2H2
AT5G39820,0.99999981560933,ANAC094,5,-1,transcription_factor,NAC
AT3G47500,0.999999799742935,CDF3,3,-1,transcription_factor,C2C2-Dof
AT2G42430,0.999999747828949,LBD16,2,1,protein_coding,na
AT3G22830,0.999999688845026,HSFA6B,3,1,transcription_factor,HSF
AT5G20790,0.999999676069763,AT5G20790,5,-1,protein_coding,na
AT4G18450,0.999999674386419,ERF091,4,-1,transcription_factor,AP2-EREBP
AT1G30650,0.999999592105941,WRKY14,1,1,transcription_factor,WRKY
AT2G23440,0.999999536570501,CEP3,2,1,protein_coding,na
AT2G40740,0.999999153236438,WRKY55,2,1,transcription_factor,WRKY
AT1G17710,0.999998736350229,AT1G17710,1,-1,protein_coding,na
AT1G69010,0.99999847963645,BIM2,1,1,transcription_factor,bHLH
AT5G60130,0.999996810918625,AT5G60130,5,-1,protein_coding,na
AT5G50670,0.999996559998711,SPL13A,5,-1,protein_coding,na
AT1G23110,0.999992307491649,AT1G23110,1,-1,protein_coding,na
AT2G41240,0.999991768700735,BHLH100,2,-1,transcription_factor,bHLH
AT2G03340,0.999991677954781,WRKY3,2,-1,transcription_factor,WRKY
AT1G05300,0.999980636670751,ZIP5,1,-1,protein_coding,na
AT2G11810,0.999977287108564,MGD3,2,1,protein_coding,na
AT3G15210,0.999949294130365,ERF4,3,1,transcription_factor,AP2-EREBP
AT5G13910,0.999938771965148,LEP,5,-1,transcription_factor,AP2-EREBP
AT3G44780,0.999937082702306,AT3G44780,3,-1,protein_coding,na
AT5G11060,0.999924678626637,KNAT4,5,1,transcription_factor,Homeobox
AT2G46880,0.99992355486402,PAP14,2,-1,protein_coding,na
AT2G45130,0.999904055604874,SPX3,2,1,protein_coding,na
AT4G35490,0.999897382603499,MRPL11,4,1,protein_coding,na
AT1G01453,0.999896901947932,AT1G01453,1,-1,protein_coding,na
AT5G24430,0.999837233126438,CRK4,5,-1,protein_coding,na
AT1G69860,0.999755709224279,NPF2.14,1,1,protein_coding,na
AT1G51320,0.999755055270464,FBX11,1,1,protein_coding,na
AT3G19580,0.999716264243247,AZF2,3,-1,transcription_factor,C2H2
AT1G76880,0.999701940826478,AT1G76880,1,1,transcription_factor,Trihelix
AT1G63105,0.999695715094401,AT1G63105,1,1,protein_coding,na
AT2G42880,0.999641433804131,MPK20,2,-1,protein_coding,na
AT1G33730,0.999639699107129,CYP76C5,1,1,protein_coding,na
AT2G03130,0.999634597795766,AT2G03130,2,1,protein_coding,na
AT2G07280,0.999628398504436,AT2G07280,2,1,protein_coding,na
AT4G12334,0.999607575689462,AT4G12334,4,-1,protein_coding,na
AT1G15600,0.999567597911959,AT1G15600,1,1,protein_coding,na
AT1G13450,0.999566205289313,GT-1,1,-1,transcription_factor,Trihelix
AT1G60530,0.99956022321774,DRP4A,1,1,protein_coding,na
AT4G26485,0.99954466127955,AT4G26485,4,-1,protein_coding,na
AT3G02000,0.9995434962602,GRXC7,3,-1,protein_coding,na
AT5G35830,0.999535061139531,AT5G35830,5,-1,protein_coding,na
AT4G19240,0.999505175931741,AT4G19240,4,-1,protein_coding,na
AT5G19700,0.999500389040651,DTX52,5,-1,protein_coding,na
AT2G45760,0.999462215188026,BAP2,2,-1,protein_coding,na
AT5G36980,0.999436981147606,AT5G36980,5,-1,protein_coding,na
AT1G36950,0.999433206526215,AT1G36950,1,-1,transcription_factor,C2H2
AT3G29080,0.999410243156089,AT3G29080,3,1,protein_coding,na
AT3G48510,0.999375057582662,AT3G48510,3,-1,protein_coding,na
AT3G56560,0.999373197107243,anac065,3,1,transcription_factor,NAC
AT4G09120,0.999371590157452,ATL36,4,1,protein_coding,na
AT2G42460,0.999324895660885,AT2G42460,2,-1,protein_coding,na
AT1G67455,0.999294742544451,AT1G67455,1,1,protein_coding,na
AT1G24250,0.999262849428198,AT1G24250,1,-1,protein_coding,na
AT1G52940,0.999199278384184,PAP5,1,1,protein_coding,na
AT1G74650,0.999154983096073,ATY13,1,1,transcription_factor,MYB
AT2G24080,0.999127125128141,AT2G24080,2,-1,protein_coding,na
AT3G16510,0.999041062921432,AT3G16510,3,-1,protein_coding,na
AT5G09280,0.998931686202156,AT5G09280,5,-1,protein_coding,na
AT3G48960,0.998805121688381,RPL13C,3,-1,protein_coding,na
AT3G61571,0.998804455735212,AT3G61571,3,-1,protein_coding,na
AT1G31270,0.99880339998337,AT1G31270,1,1,protein_coding,na
AT5G62020,0.998755847444065,HSFB2A,5,1,transcription_factor,HSF
AT4G36350,0.998708672041956,PAP25,4,-1,protein_coding,na
AT4G29970,0.998706944469737,AT4G29970,4,-1,protein_coding,na
AT3G20770,0.998683388235792,EIN3,3,-1,transcription_factor,EIL
AT5G38170,0.998597999391206,AT5G38170,5,1,protein_coding,na
AT3G55810,0.998496346364728,AT3G55810,3,-1,protein_coding,na
AT1G20735,0.998309358346802,AT1G20735,1,1,protein_coding,na
AT2G22010,0.998217880992469,RKP,2,-1,protein_coding,na
AT4G35480,0.99821422260224,ATL45,4,-1,protein_coding,na
AT1G63030,0.99809815853744,DREB1E,1,-1,transcription_factor,AP2-EREBP
AT1G68238,0.998004067640424,AT1G68238,1,1,protein_coding,na
AT2G46550,0.997866752869969,AT2G46550,2,-1,protein_coding,na
AT3G62690,0.997631909136607,ATL5,3,-1,protein_coding,na
AT1G62690,0.997536318538452,AT1G62690,1,-1,protein_coding,na
AT4G32110,0.997477381086737,AT4G32110,4,-1,protein_coding,na
AT4G24980,0.997463645087911,AT4G24980,4,-1,protein_coding,na
AT5G07930,0.997276101670357,MCT2,5,1,protein_coding,na
AT2G25630,0.997087201964468,BGLU14,2,1,protein_coding,na
AT2G30300,0.997065644611956,AT2G30300,2,1,protein_coding,na
AT3G29690,0.996931470114767,AT3G29690,3,-1,protein_coding,na
AT1G60783,0.996927224057819,SMR15,1,1,protein_coding,na
AT5G05050,0.996899260787975,AT5G05050,5,1,protein_coding,na
AT1G13608,0.996768887695815,AT1G13608,1,1,protein_coding,na
AT2G28920,0.996604516744998,AT2G28920,2,1,transcription_factor,C3H
AT4G08980,0.996005056867895,FBW2,4,1,protein_coding,na
AT5G42050,0.995995233528063,AT5G42050,5,1,protein_coding,na
AT2G36026,0.995908757078394,AT2G36026,2,1,protein_coding,na
AT2G14580,0.995808359075549,PRB1,2,-1,protein_coding,na
AT5G27340,0.995799325558322,AT5G27340,5,1,protein_coding,na
AT2G31215,0.995513955368994,BHLH138,2,1,transcription_factor,bHLH
AT3G44460,0.995223841464432,DPBF2,3,-1,transcription_factor,bZIP
AT2G40180,0.994942080734851,PP2C5,2,1,protein_coding,na
AT2G11620,0.994865662281591,AT2G11620,2,1,protein_coding,na
AT5G14370,0.994685600295163,AT5G14370,5,-1,protein_coding,na
AT1G67025,0.994633924503042,AT1G67025,1,-1,protein_coding,na
AT1G17620,0.99391641476695,AT1G17620,1,1,protein_coding,na
AT5G17350,0.993709315143629,AT5G17350,5,1,protein_coding,na
AT1G36060,0.99337177901852,ERF055,1,-1,transcription_factor,AP2-EREBP
AT5G38310,0.992924244300389,AT5G38310,5,-1,protein_coding,na
AT2G23220,0.992764108109472,CYP81D6,2,1,protein_coding,na
AT4G36590,0.992485810469432,AT4G36590,4,-1,transcription_factor,MADS
AT3G56970,0.992111273695564,ORG2,3,-1,transcription_factor,bHLH
AT3G17730,0.991985131515881,anac057,3,1,transcription_factor,NAC
AT2G34210,0.991837162192939,AT2G34210,2,1,protein_coding,na
AT2G45135,0.991194116148159,AT2G45135,2,1,protein_coding,na
AT1G02710,0.991076299110824,AT1G02710,1,-1,protein_coding,na
AT3G18950,0.990777497163183,AT3G18950,3,1,protein_coding,na
AT4G18620,0.990351998530048,PYL13,4,1,protein_coding,na
AT5G40310,0.989124152317584,AT5G40310,5,-1,transcription_factor,C2H2
AT5G05790,0.989037948865206,AT5G05790,5,-1,transcription_factor,MYB-related
AT1G71000,0.988688472525538,AT1G71000,1,-1,protein_coding,na
AT5G19470,0.98825966930103,NUDT24,5,1,protein_coding,na
AT1G02550,0.988250403356839,AT1G02550,1,1,protein_coding,na
AT1G35550,0.988090818815338,AT1G35550,1,1,protein_coding,na
AT3G32400,0.988064600992243,FH17,3,-1,protein_coding,na
AT2G36030,0.987188095513121,AT2G36030,2,-1,protein_coding,na
AT3G28330,0.986187583622038,AT3G28330,3,-1,protein_coding,na
AT3G16130,0.986170475429998,ATROPGEF13,3,1,protein_coding,na
AT2G44130,0.986056542766166,AT2G44130,2,1,protein_coding,na
AT2G32660,0.985934952586935,AtRLP22,2,-1,protein_coding,na
AT1G06148,0.985263266401067,AT1G06148,1,-1,protein_coding,na
AT1G07025,0.985116072867549,AT1G07025,1,-1,protein_coding,na
AT4G13320,0.984854164242365,AT4G13320,4,1,protein_coding,na
AT1G10090,0.984853488589988,AT1G10090,1,-1,protein_coding,na
AT3G17810,0.984656728204647,PYD1,3,1,protein_coding,na
AT1G47490,0.984610615083932,RBP47C,1,1,protein_coding,na
AT3G29590,0.984458980347162,5MAT,3,-1,protein_coding,na
AT2G28500,0.98404695100412,LBD11,2,-1,protein_coding,na
AT3G16350,0.983606510599075,AT3G16350,3,1,transcription_factor,MYB-related
AT4G32710,0.982824368069168,PERK14,4,1,transcription_factor,Trihelix
AT1G23710,0.981176000218705,AT1G23710,1,1,protein_coding,na
AT1G05100,0.980192669286035,MAPKKK18,1,1,protein_coding,na
AT4G36610,0.97962760058524,AT4G36610,4,-1,protein_coding,na
AT1G08170,0.978704985553734,AT1G08170,1,-1,protein_coding,na
AT1G76600,0.977046750037189,AT1G76600,1,1,protein_coding,na
AT4G36900,0.976692945406771,RAP2-10,4,1,transcription_factor,AP2-EREBP
AT2G18700,0.976651338884187,TPS11,2,1,protein_coding,na
AT3G28340,0.976109301121592,GATL10,3,-1,protein_coding,na
AT1G31290,0.975782012942208,AGO3,1,1,protein_coding,na
AT4G25350,0.975004430856492,PHO1-H4,4,-1,protein_coding,na
AT2G30040,0.974817358716966,MAPKKK14,2,1,protein_coding,na
AT3G43160,0.974669321113423,MEE38,3,1,protein_coding,na
AT5G14640,0.972581549058367,ASK5,5,-1,protein_coding,na
AT1G63340,0.971765027055806,AT1G63340,1,-1,protein_coding,na
AT3G60790,0.971079138218671,AT3G60790,3,1,protein_coding,na
AT4G24890,0.970494659018489,PAP24,4,-1,protein_coding,na
AT2G10450,0.969713176061945,AT2G10450,2,1,protein_coding,na
AT4G36790,0.968881353533382,AT4G36790,4,1,protein_coding,na
AT4G10670,0.968207952847645,GTC2,4,1,protein_coding,na
AT2G01960,0.965516614620774,TET14,2,1,protein_coding,na
AT1G01360,0.965371241063619,PYL9,1,1,protein_coding,na
AT2G02860,0.964982115129664,SUC3,2,-1,protein_coding,na
AT2G24780,0.961355450256428,AT2G24780,2,-1,protein_coding,na
AT4G11140,0.960275148943234,CRF1,4,-1,transcription_factor,AP2-EREBP
AT1G21620,0.960269922683381,APUM20,1,1,protein_coding,na
AT4G26090,0.957436214012517,RPS2,4,1,protein_coding,na
AT1G08165,0.952505306989671,AT1G08165,1,-1,protein_coding,na
AT1G20795,0.95025777373701,AT1G20795,1,-1,protein_coding,na
AT5G05020,0.950076326279662,AT5G05020,5,-1,protein_coding,na
AT5G17030,0.949325458868634,UGT78D3,5,-1,protein_coding,na
AT5G01100,0.948722130345402,FRB1,5,-1,protein_coding,na
AT1G19310,0.947985352459718,AT1G19310,1,-1,transcription_factor,C3H
AT1G73010,0.945289341939633,PS2,1,-1,protein_coding,na
AT1G75030,0.944521113553479,ATLP-3,1,1,protein_coding,na
AT1G75800,0.944291603539561,AT1G75800,1,1,protein_coding,na
AT2G44490,0.943124264129423,BGLU26,2,1,protein_coding,na
AT5G24550,0.942578722554939,BGLU32,5,-1,protein_coding,na
AT5G09440,0.942423953114812,EXL4,5,1,protein_coding,na
AT5G09570,0.940432464973068,AT5G09570,5,1,protein_coding,na
AT2G01554,0.938287083318959,AT2G01554,2,1,protein_coding,na
AT3G17370,0.937973811526055,AT3G17370,3,-1,protein_coding,na
AT2G36760,0.936849514442852,UGT73C2,2,-1,protein_coding,na
AT1G16510,0.936042403288148,SAUR41,1,-1,protein_coding,na
AT3G06870,0.935590445079261,AT3G06870,3,-1,protein_coding,na
AT1G27910,0.934981206737641,PUB45,1,-1,protein_coding,na
AT5G28450,0.934663142823791,AT5G28450,5,-1,protein_coding,na
AT1G51680,0.929363880208944,4CL1,1,-1,protein_coding,na
AT5G39785,0.928637477664257,AT5G39785,5,1,protein_coding,na
AT5G11970,0.927607085759826,AT5G11970,5,-1,protein_coding,na
AT1G19320,0.926772438400786,AT1G19320,1,1,protein_coding,na
AT2G30400,0.925954847775844,OFP2,2,1,protein_coding,na
AT2G06200,0.924668634135286,AtGRF6,2,1,transcription_factor,GRF
AT1G70090,0.922939285810995,GATL9,1,1,protein_coding,na
AT5G01520,0.922875450111473,AT5G01520,5,1,protein_coding,na
AT5G03545,0.921486441237924,AT4,5,1,protein_coding,na
AT1G02520,0.920549708490256,ABCB11,1,1,protein_coding,na
AT5G01840,0.920338397616079,OFP1,5,1,protein_coding,na
AT1G13670,0.920099588276956,AT1G13670,1,1,protein_coding,na
AT2G23430,0.918977103216852,KRP1,2,-1,protein_coding,na
AT1G74360,0.917969887221672,AT1G74360,1,1,protein_coding,na
AT5G33406,0.917646003157452,AT5G33406,5,-1,protein_coding,na
AT4G27920,0.917299912864877,PYL10,4,1,protein_coding,na
AT4G13480,0.915797514682328,AtMYB79,4,1,transcription_factor,MYB
AT2G19800,0.914985534645504,MIOX2,2,-1,protein_coding,na
AT1G24388,0.914883201729026,AT1G24388,1,-1,protein_coding,na
AT3G18690,0.914537550029004,MKS1,3,-1,protein_coding,na
AT3G45780,0.912600426487612,PHOT1,3,1,protein_coding,na
AT1G78120,0.908233438700104,TPR12,1,-1,protein_coding,na
AT5G42250,0.908120360916846,AT5G42250,5,1,protein_coding,na
AT2G23450,0.907723217753428,WAKL14,2,-1,protein_coding,na
AT3G60110,0.906325404645354,AT3G60110,3,1,protein_coding,na
AT1G04380,0.905880493281467,AT1G04380,1,-1,protein_coding,na
AT2G30760,0.904344628543464,AT2G30760,2,-1,protein_coding,na
AT3G11773,0.903721163199473,AT3G11773,3,-1,protein_coding,na
AT3G13500,0.902610244224101,AT3G13500,3,1,protein_coding,na
AT2G19410,0.9023944932003,AT2G19410,2,-1,protein_coding,na
AT3G26130,0.901295496513545,AT3G26130,3,-1,protein_coding,na
AT4G28890,0.901277548227645,ATL42,4,-1,transcription_factor,C3H
AT5G01250,0.901204704388308,AT5G01250,5,-1,protein_coding,na
AT4G00330,0.900469081228404,CRCK2,4,-1,protein_coding,na
AT2G18570,0.899942402882174,UGT72D1,2,1,protein_coding,na
AT4G29030,0.899055677296939,AT4G29030,4,1,transcription_factor,Trihelix
AT2G03250,0.895629360892674,AT2G03250,2,-1,protein_coding,na
AT5G01550,0.895091415112527,LECRKA4.2,5,-1,protein_coding,na
AT1G70910,0.894875361313421,DEP,1,1,transcription_factor,C3H
AT5G19050,0.89472455309206,AT5G19050,5,1,protein_coding,na
