Ensembl.Gene.ID,Associated.Gene.Name,Chromosome.Name,Strand,Gene.Biotype,TF.family
AT5G05785,AT5G05785,5,1,ncRNA,na
AT1G19968,AT1G19968,1,1,ncRNA,na
AT2G36307,ZPR4,2,-1,ncRNA,na
AT1G24068,AT1G24068,1,1,ncRNA,na
AT3G44798,AT3G44798,3,1,ncRNA,na
AT5G06095,AT5G06095,5,-1,ncRNA,na
AT1G08933,AT1G08933,1,-1,ncRNA,na
AT3G04535,AT3G04535,3,-1,ncRNA,na
AT4G30872,AT4G30872,4,-1,ncRNA,na
AT3G07485,AT3G07485,3,-1,ncRNA,na
AT3G03065,AT3G03065,3,-1,ncRNA,na
AT5G33439,AT5G33439,5,-1,ncRNA,na
AT3G05215,AT3G05215,3,-1,ncRNA,na
AT5G05295,AT5G05295,5,-1,ncRNA,na
AT3G61198,AT3G61198,3,-1,ncRNA,na
AT5G22788,AT5G22788,5,-1,ncRNA,na
AT1G70581,AT1G70581,1,1,ncRNA,na
AT4G30975,AT4G30975,4,1,ncRNA,na
AT1G58808,AT1G58808,1,1,ncRNA,na
AT3G04485,AT3G04485,3,1,ncRNA,na
AT3G08410,AT3G08410,3,1,ncRNA,na
AT5G23410,AT5G23410,5,-1,ncRNA,na
AT4G05365,AT4G05365,4,-1,ncRNA,na
AT5G43725,AT5G43725,5,1,ncRNA,na
AT1G25175,AT1G25175,1,1,ncRNA,na
AT1G11592,AT1G11592,1,-1,ncRNA,na
AT4G26255,AT4G26255,4,1,ncRNA,na
AT2G09155,AT2G09155,2,1,ncRNA,na
AT1G70185,AT1G70185,1,1,ncRNA,na
AT4G23205,AT4G23205,4,-1,ncRNA,na
AT4G08035,AT4G08035,4,1,ncRNA,na
AT1G26235,AT1G26235,1,-1,ncRNA,na
AT1G34418,AT1G34418,1,1,ncRNA,na
AT3G57157,AT3G57157,3,1,ncRNA,na
AT1G08823,AT1G08823,1,-1,ncRNA,na
AT4G40065,AT4G40065,4,-1,ncRNA,na
AT1G64572,AT1G64572,1,1,ncRNA,na
AT3G60238,AT3G60238,3,-1,ncRNA,na
AT5G28262,AT5G28262,5,1,ncRNA,na
AT2G39681,TAS2,2,-1,ncRNA,na
AT4G05940,AT4G05940,4,-1,ncRNA,na
AT4G04315,AT4G04315,4,1,ncRNA,na
AT5G02135,AT5G02135,5,-1,ncRNA,na
AT5G34871,AT5G34871,5,1,ncRNA,na
AT5G38005,AT5G38005,5,1,ncRNA,na
AT4G39404,AT4G39404,4,-1,ncRNA,na
AT2G42388,AT2G42388,2,1,ncRNA,na
AT1G31935,AT1G31935,1,1,ncRNA,na
AT2G07975,AT2G07975,2,1,ncRNA,na
AT2G07575,AT2G07575,2,1,ncRNA,na
AT5G43403,AT5G43403,5,-1,ncRNA,na
AT3G05185,AT3G05185,3,1,ncRNA,na
AT1G11175,AT1G11175,1,1,ncRNA,na
AT5G37485,AT5G37485,5,-1,ncRNA,na
AT1G49952,AT1G49952,1,-1,ncRNA,na
AT3G59765,AT3G59765,3,-1,ncRNA,na
AT3G07635,AT3G07635,3,-1,ncRNA,na
AT3G03695,AT3G03695,3,1,ncRNA,na
AT4G03811,AT4G03811,4,1,ncRNA,na
AT2G18735,AT2G18735,2,1,ncRNA,na
AT1G66173,AT1G66173,1,1,ncRNA,na
AT1G58590,AT1G58590,1,-1,ncRNA,na
AT1G49832,AT1G49832,1,1,ncRNA,na
AT1G21529,AT1G21529,1,-1,ncRNA,na
AT1G09583,AT1G09583,1,-1,ncRNA,na
AT4G13495,AT4G13495,4,1,ncRNA,na
AT3G17185,TASIR-ARF,3,1,ncRNA,na
AT2G15555,AT2G15555,2,-1,ncRNA,na
AT1G55525,AT1G55525,1,-1,ncRNA,na
AT1G05813,AT1G05813,1,-1,ncRNA,na
AT1G07257,AT1G07257,1,1,ncRNA,na
AT4G14548,AT4G14548,4,1,ncRNA,na
AT5G28824,AT5G28824,5,-1,ncRNA,na
AT3G13277,AT3G13277,3,1,ncRNA,na
AT1G77138,AT1G77138,1,1,ncRNA,na
AT1G64618,AT1G64618,1,1,ncRNA,na
AT1G70518,AT1G70518,1,1,ncRNA,na
AT5G08575,AT5G08575,5,-1,ncRNA,na
AT2G44995,AT2G44995,2,1,ncRNA,na
AT1G50055,TAS1B,1,-1,ncRNA,na
AT3G14185,AT3G14185,3,-1,ncRNA,na
AT1G23052,AT1G23052,1,-1,ncRNA,na
AT4G02005,AT4G02005,4,-1,ncRNA,na
AT1G34392,AT1G34392,1,-1,ncRNA,na
AT2G30945,AT2G30945,2,1,ncRNA,na
AT2G14878,AT2G14878,2,1,ncRNA,na
AT4G15242,AT4G15242,4,-1,ncRNA,na
AT3G46614,AT3G46614,3,-1,ncRNA,na
AT1G33615,AT1G33615,1,-1,ncRNA,na
AT5G49615,TAS3b,5,1,ncRNA,na
AT4G16748,AT4G16748,4,-1,ncRNA,na
AT4G12917,AT4G12917,4,-1,ncRNA,na
AT4G10507,AT4G10507,4,1,ncRNA,na
AT3G07215,AT3G07215,3,-1,ncRNA,na
AT5G08125,AT5G08125,5,1,ncRNA,na
AT2G05518,AT2G05518,2,1,ncRNA,na
AT3G41761,AT3G41761,3,1,ncRNA,na
AT3G06962,AT3G06962,3,1,ncRNA,na
AT3G05152,AT3G05152,3,1,ncRNA,na
AT1G08253,AT1G08253,1,-1,ncRNA,na
AT3G44765,AT3G44765,3,1,ncRNA,na
AT3G15536,AT3G15536,3,1,ncRNA,na
AT2G06562,AT2G06562,2,1,ncRNA,na
AT1G09073,AT1G09073,1,-1,ncRNA,na
AT2G15292,AT2G15292,2,-1,ncRNA,na
AT4G04223,AT4G04223,4,1,ncRNA,na
AT1G07507,AT1G07507,1,1,ncRNA,na
AT5G06955,AT5G06955,5,-1,ncRNA,na
AT1G46554,AT1G46554,1,1,ncRNA,na
AT2G06002,AT2G06002,2,1,ncRNA,na
AT5G33399,AT5G33399,5,-1,ncRNA,na
AT1G50659,AT1G50659,1,-1,ncRNA,na
AT3G12965,AT3G12965,3,-1,ncRNA,na
AT1G05697,AT1G05697,1,1,ncRNA,na
AT3G26612,AT3G26612,3,1,ncRNA,na
AT1G04867,AT1G04867,1,1,ncRNA,na
AT2G08610,AT2G08610,2,1,ncRNA,na
AT3G27884,AT3G27884,3,-1,ncRNA,na
AT2G27400,TAS1A,2,-1,ncRNA,na
AT1G52347,AT1G52347,1,1,ncRNA,na
AT1G64563,AT1G64563,1,-1,ncRNA,na
AT2G24735,AT2G24735,2,1,ncRNA,na
AT2G21188,AT2G21188,2,-1,ncRNA,na
AT3G06125,AT3G06125,3,1,ncRNA,na
AT2G32795,AT2G32795,2,1,ncRNA,na
AT4G06701,AT4G06701,4,-1,ncRNA,na
AT4G31408,AT4G31408,4,-1,ncRNA,na
AT3G53365,AT3G53365,3,1,ncRNA,na
AT1G06797,AT1G06797,1,1,ncRNA,na
AT5G40316,AT5G40316,5,-1,ncRNA,na
AT2G43375,AT2G43375,2,-1,ncRNA,na
AT2G09475,AT2G09475,2,-1,ncRNA,na
AT1G43765,AT1G43765,1,1,ncRNA,na
AT3G61118,AT3G61118,3,-1,ncRNA,na
AT5G45475,AT5G45475,5,1,ncRNA,na
AT2G05685,AT2G05685,2,-1,ncRNA,na
AT2G07042,AT2G07042,2,-1,ncRNA,na
AT1G16635,AT1G16635,1,-1,ncRNA,na
AT2G07405,AT2G07405,2,-1,ncRNA,na
AT2G22482,AT2G22482,2,-1,ncRNA,na
AT2G18440,GUT15,2,-1,ncRNA,na
AT1G11185,AT1G11185,1,1,ncRNA,na
AT4G05905,AT4G05905,4,1,ncRNA,na
AT5G00885,AT5G00885,5,-1,ncRNA,na
AT1G05547,AT1G05547,1,1,ncRNA,na
AT5G44569,AT5G44569,5,1,ncRNA,na
AT2G39675,TAS1C,2,-1,ncRNA,na
AT1G08493,AT1G08493,1,1,ncRNA,na
AT1G09277,AT1G09277,1,1,ncRNA,na
AT1G22403,AT1G22403,1,-1,ncRNA,na
AT3G55485,AT3G55485,3,1,ncRNA,na
AT5G48412,AT5G48412,5,-1,ncRNA,na
AT3G60972,AT3G60972,3,-1,ncRNA,na
AT2G09365,AT2G09365,2,-1,ncRNA,na
AT4G16355,AT4G16355,4,1,ncRNA,na
AT4G03038,AT4G03038,4,-1,ncRNA,na
AT1G67105,AT1G67105,1,1,ncRNA,na
AT2G41312,AT2G41312,2,1,ncRNA,na
AT3G18362,AT3G18362,3,1,ncRNA,na
AT2G04705,AT2G04705,2,-1,ncRNA,na
AT1G52615,AT1G52615,1,-1,ncRNA,na
AT2G30115,AT2G30115,2,1,ncRNA,na
AT5G07322,AT5G07322,5,-1,ncRNA,na
AT5G06165,AT5G06165,5,-1,ncRNA,na
AT5G02825,AT5G02825,5,-1,ncRNA,na
AT5G57735,TASIR-ARF,5,1,ncRNA,na
AT1G57835,AT1G57835,1,1,ncRNA,na
AT1G68872,AT1G68872,1,-1,ncRNA,na
AT5G50190,AT5G50190,5,-1,ncRNA,na
AT3G54366,AT3G54366,3,1,ncRNA,na
AT1G69252,AT1G69252,1,1,ncRNA,na
AT2G31585,AT2G31585,2,1,ncRNA,na
AT2G46192,AT2G46192,2,1,ncRNA,na
AT2G01422,AT2G01422,2,1,ncRNA,na
AT2G05995,AT2G05995,2,1,ncRNA,na
AT3G41768,AT3G41768,3,1,rRNA,na
AT4G03935,AT4G03935,4,-1,ncRNA,na
ATCG00950,RRN23S.1,Pt,1,rRNA,na
ATCG01180,RRN23S.2,Pt,-1,rRNA,na
AT3G41979,AT3G41979,3,1,rRNA,na
ATMG00020,RRN26,Mt,-1,rRNA,na
AT2G01020,AT2G01020,2,1,rRNA,na
ATCG01170,RRN4.5S.2,Pt,-1,rRNA,na
ATCG00920,RRN16S.1,Pt,1,rRNA,na
ATMG01390,RRN18,Mt,-1,rRNA,na
ATCG01210,RRN16S.2,Pt,-1,rRNA,na
ATCG01160,RRN5S,Pt,-1,rRNA,na
ATCG00970,RRN5S,Pt,1,rRNA,na
ATMG01380,RRN5,Mt,-1,rRNA,na
AT2G01010,AT2G01010,2,1,rRNA,na
ATCG00960,RRN4.5S.1,Pt,1,rRNA,na
AT4G18725,AT4G18725,4,1,tRNA,na
AT1G61910,AT1G61910,1,1,tRNA,na
AT1G56940,AT1G56940,1,1,tRNA,na
ATMG00800,TRNE,Mt,1,tRNA,na
AT3G63003,AT3G63003,3,-1,tRNA,na
AT1G56990,AT1G56990,1,1,tRNA,na
AT2G45020,AT2G45020,2,1,tRNA,na
AT5G02505,AT5G02505,5,-1,tRNA,na
AT1G10440,AT1G10440,1,-1,tRNA,na
AT3G46585,AT3G46585,3,1,tRNA,na
AT1G61880,AT1G61880,1,-1,tRNA,na
AT1G05980,AT1G05980,1,1,tRNA,na
AT2G22220,AT2G22220,2,-1,tRNA,na
AT1G57170,AT1G57170,1,1,tRNA,na
AT1G48080,AT1G48080,1,1,tRNA,na
AT1G60580,AT1G60580,1,-1,tRNA,na
AT2G17810,AT2G17810,2,1,tRNA,na
AT4G16465,AT4G16465,4,1,tRNA,na
AT3G05835,AT3G05835,3,1,tRNA,na
AT1G80430,AT1G80430,1,1,tRNA,na
AT5G58495,AT5G58495,5,1,tRNA,na
AT1G60910,AT1G60910,1,1,tRNA,na
AT1G56760,AT1G56760,1,1,tRNA,na
AT5G09345,AT5G09345,5,-1,tRNA,na
AT5G49435,AT5G49435,5,1,tRNA,na
AT1G09110,AT1G09110,1,1,tRNA,na
AT1G74610,AT1G74610,1,1,tRNA,na
AT5G43535,AT5G43535,5,-1,tRNA,na
AT2G30850,AT2G30850,2,-1,tRNA,na
AT1G56970,AT1G56970,1,1,tRNA,na
AT1G04720,AT1G04720,1,1,tRNA,na
AT5G27715,AT5G27715,5,-1,tRNA,na
AT3G51265,AT3G51265,3,-1,tRNA,na
AT5G35605,AT5G35605,5,-1,tRNA,na
AT1G13010,AT1G13010,1,1,tRNA,na
ATCG00880,TRNL.2,Pt,-1,tRNA,na
AT2G16240,AT2G16240,2,1,tRNA,na
ATCG00410,TRNF,Pt,1,tRNA,na
AT1G45238,AT1G45238,1,1,tRNA,na
AT3G16552,AT3G16552,3,1,tRNA,na
AT5G14495,AT5G14495,5,1,tRNA,na
AT1G57370,AT1G57370,1,1,tRNA,na
AT1G57480,AT1G57480,1,1,tRNA,na
AT4G03135,AT4G03135,4,1,tRNA,na
AT2G35220,AT2G35220,2,1,tRNA,na
ATMG09450,ATMG09450,Mt,1,tRNA,na
AT3G02315,AT3G02315,3,1,tRNA,na
AT1G56980,AT1G56980,1,1,tRNA,na
AT1G70050,AT1G70050,1,-1,tRNA,na
AT3G30345,AT3G30345,3,1,tRNA,na
AT5G66568,AT5G66568,5,1,tRNA,na
AT1G28730,AT1G28730,1,1,tRNA,na
ATMG00420,TRNS.3,Mt,1,tRNA,na
AT4G25435,AT4G25435,4,-1,tRNA,na
AT3G12585,AT3G12585,3,-1,tRNA,na
AT3G52285,AT3G52285,3,-1,tRNA,na
AT3G18815,AT3G18815,3,-1,tRNA,na
AT5G07625,AT5G07625,5,1,tRNA,na
AT1G45246,AT1G45246,1,1,tRNA,na
AT4G16475,AT4G16475,4,1,tRNA,na
AT1G08870,AT1G08870,1,-1,tRNA,na
AT3G15585,AT3G15585,3,1,tRNA,na
AT1G56830,AT1G56830,1,1,tRNA,na
AT1G73900,AT1G73900,1,1,tRNA,na
AT4G39615,AT4G39615,4,1,tRNA,na
AT4G24025,AT4G24025,4,-1,tRNA,na
AT1G07760,AT1G07760,1,-1,tRNA,na
AT5G56745,AT5G56745,5,1,tRNA,na
AT1G57140,AT1G57140,1,1,tRNA,na
AT4G31695,AT4G31695,4,-1,tRNA,na
AT1G22320,AT1G22320,1,-1,tRNA,na
AT5G59945,AT5G59945,5,-1,tRNA,na
AT1G16450,AT1G16450,1,-1,tRNA,na
AT1G59880,AT1G59880,1,-1,tRNA,na
AT1G28820,AT1G28820,1,1,tRNA,na
AT1G49690,AT1G49690,1,1,tRNA,na
AT1G57060,AT1G57060,1,1,tRNA,na
AT1G63510,AT1G63510,1,-1,tRNA,na
AT5G15815,AT5G15815,5,1,tRNA,na
AT1G68950,AT1G68950,1,1,tRNA,na
AT1G28900,AT1G28900,1,1,tRNA,na
ATCG01290,TRNI.4,Pt,1,tRNA,na
AT4G39195,AT4G39195,4,-1,tRNA,na
AT1G57300,AT1G57300,1,1,tRNA,na
AT2G15950,AT2G15950,2,-1,tRNA,na
ATCG00060,TRNQ,Pt,-1,tRNA,na
AT5G63145,AT5G63145,5,1,tRNA,na
AT2G36510,AT2G36510,2,1,tRNA,na
AT4G28915,AT4G28915,4,1,tRNA,na
AT2G25400,AT2G25400,2,1,tRNA,na
AT1G45240,AT1G45240,1,1,tRNA,na
AT5G11475,AT5G11475,5,-1,tRNA,na
AT1G74570,AT1G74570,1,-1,tRNA,na
AT5G23665,AT5G23665,5,1,tRNA,na
AT2G02600,AT2G02600,2,1,tRNA,na
AT2G33660,AT2G33660,2,1,tRNA,na
ATMG00340,TRNY.1,Mt,1,tRNA,na
AT5G53487,AT5G53487,5,-1,tRNA,na
AT1G01870,AT1G01870,1,1,tRNA,na
AT5G02385,AT5G02385,5,-1,tRNA,na
AT4G31075,AT4G31075,4,1,tRNA,na
AT4G32475,AT4G32475,4,1,tRNA,na
AT3G25715,AT3G25715,3,-1,tRNA,na
AT2G07754,AT2G07754,2,-1,tRNA,na
AT1G79240,AT1G79240,1,1,tRNA,na
AT1G30430,AT1G30430,1,1,tRNA,na
AT1G28950,AT1G28950,1,1,tRNA,na
ATMG00380,TRNN,Mt,1,tRNA,na
AT5G66535,AT5G66535,5,-1,tRNA,na
AT4G11216,AT4G11216,4,-1,tRNA,na
ATCG01200,TRNI.3,Pt,-1,tRNA,na
AT5G39535,AT5G39535,5,-1,tRNA,na
AT5G41605,AT5G41605,5,1,tRNA,na
AT2G07794,AT2G07794,2,-1,tRNA,na
AT5G66755,AT5G66755,5,-1,tRNA,na
AT4G39865,AT4G39865,4,-1,tRNA,na
AT5G59395,AT5G59395,5,1,tRNA,na
AT1G26430,AT1G26430,1,1,tRNA,na
AT1G13840,AT1G13840,1,1,tRNA,na
ATCG00990,TRNN.1,Pt,-1,tRNA,na
AT1G21420,AT1G21420,1,-1,tRNA,na
AT5G03445,AT5G03445,5,1,tRNA,na
AT2G30190,AT2G30190,2,1,tRNA,na
AT4G20115,AT4G20115,4,-1,tRNA,na
AT1G57500,AT1G57500,1,1,tRNA,na
AT4G11177,AT4G11177,4,1,tRNA,na
AT5G46325,AT5G46325,5,1,tRNA,na
AT1G57120,AT1G57120,1,1,tRNA,na
AT5G56365,AT5G56365,5,1,tRNA,na
AT3G07025,AT3G07025,3,1,tRNA,na
AT1G11640,AT1G11640,1,-1,tRNA,na
AT5G20856,AT5G20856,5,-1,tRNA,na
AT3G12385,AT3G12385,3,1,tRNA,na
AT3G61545,AT3G61545,3,1,tRNA,na
AT3G51135,AT3G51135,3,-1,tRNA,na
ATMG00100,TRNK.1,Mt,-1,tRNA,na
AT1G79290,AT1G79290,1,1,tRNA,na
AT2G36860,AT2G36860,2,-1,tRNA,na
AT2G07766,AT2G07766,2,1,tRNA,na
AT2G33140,AT2G33140,2,-1,tRNA,na
AT5G05795,AT5G05795,5,1,tRNA,na
AT1G15450,AT1G15450,1,-1,tRNA,na
AT1G60840,AT1G60840,1,-1,tRNA,na
AT3G61755,AT3G61755,3,1,tRNA,na
ATCG00090,TRNS.1,Pt,1,tRNA,na
AT2G36520,AT2G36520,2,-1,tRNA,na
AT5G09755,AT5G09755,5,-1,tRNA,na
AT4G02055,AT4G02055,4,1,tRNA,na
AT2G07759,AT2G07759,2,1,tRNA,na
AT4G18255,AT4G18255,4,-1,tRNA,na
AT5G50805,AT5G50805,5,1,tRNA,na
AT1G50070,AT1G50070,1,1,tRNA,na
AT1G57260,AT1G57260,1,1,tRNA,na
AT1G57420,AT1G57420,1,1,tRNA,na
AT4G16105,AT4G16105,4,1,tRNA,na
AT5G08075,AT5G08075,5,-1,tRNA,na
AT2G33900,AT2G33900,2,1,tRNA,na
AT2G33940,AT2G33940,2,1,tRNA,na
AT3G48515,AT3G48515,3,-1,tRNA,na
ATCG00310,TRNG.2,Pt,1,tRNA,na
AT5G65535,AT5G65535,5,1,tRNA,na
AT4G17765,AT4G17765,4,-1,tRNA,na
AT4G10815,AT4G10815,4,1,tRNA,na
AT1G53410,AT1G53410,1,-1,tRNA,na
AT1G57410,AT1G57410,1,1,tRNA,na
AT4G26375,AT4G26375,4,-1,tRNA,na
AT5G52815,AT5G52815,5,1,tRNA,na
AT5G39895,AT5G39895,5,1,tRNA,na
AT4G36245,AT4G36245,4,1,tRNA,na
AT5G03452,AT5G03452,5,-1,tRNA,na
AT1G56770,AT1G56770,1,1,tRNA,na
AT4G13265,AT4G13265,4,1,tRNA,na
AT1G28860,AT1G28860,1,1,tRNA,na
ATCG00980,TRNR.2,Pt,1,tRNA,na
AT5G60963,AT5G60963,5,1,tRNA,na
AT1G32620,AT1G32620,1,-1,tRNA,na
AT2G33930,AT2G33930,2,1,tRNA,na
AT3G63006,AT3G63006,3,-1,tRNA,na
AT5G21378,AT5G21378,5,-1,tRNA,na
AT2G33950,AT2G33950,2,1,tRNA,na
AT3G10035,AT3G10035,3,1,tRNA,na
AT1G65830,AT1G65830,1,-1,tRNA,na
AT3G50505,AT3G50505,3,-1,tRNA,na
AT1G07580,AT1G07580,1,1,tRNA,na
AT4G11355,AT4G11355,4,-1,tRNA,na
AT1G57510,AT1G57510,1,1,tRNA,na
AT3G11285,AT3G11285,3,1,tRNA,na
AT2G33650,AT2G33650,2,1,tRNA,na
AT5G48675,AT5G48675,5,-1,tRNA,na
AT1G57100,AT1G57100,1,1,tRNA,na
AT5G54865,AT5G54865,5,-1,tRNA,na
AT3G58035,AT3G58035,3,1,tRNA,na
ATMG09950,ATMG09950,Mt,-1,tRNA,na
AT3G10015,AT3G10015,3,1,tRNA,na
AT1G71700,AT1G71700,1,1,tRNA,na
AT2G30180,AT2G30180,2,1,tRNA,na
AT5G32017,AT5G32017,5,1,tRNA,na
AT2G03700,AT2G03700,2,-1,tRNA,na
AT2G07753,AT2G07753,2,-1,tRNA,na
AT2G18310,AT2G18310,2,-1,tRNA,na
AT5G64505,AT5G64505,5,1,tRNA,na
AT1G30830,AT1G30830,1,-1,tRNA,na
AT1G52350,AT1G52350,1,-1,tRNA,na
AT4G12115,AT4G12115,4,1,tRNA,na
AT5G18755,AT5G18755,5,1,tRNA,na
AT5G55055,AT5G55055,5,-1,tRNA,na
AT3G58165,AT3G58165,3,1,tRNA,na
AT2G42020,AT2G42020,2,-1,tRNA,na
AT3G06665,AT3G06665,3,-1,tRNA,na
AT1G56740,AT1G56740,1,1,tRNA,na
AT1G57150,AT1G57150,1,1,tRNA,na
AT1G13240,AT1G13240,1,-1,tRNA,na
ATCG00460,TRNM,Pt,1,tRNA,na
AT1G57030,AT1G57030,1,1,tRNA,na
ATCG00230,TRND,Pt,-1,tRNA,na
AT1G57400,AT1G57400,1,1,tRNA,na
AT2G07765,AT2G07765,2,1,tRNA,na
ATMG00360,TRNC,Mt,1,tRNA,na
AT3G53775,AT3G53775,3,1,tRNA,na
AT3G13223,AT3G13223,3,1,tRNA,na
AT5G44283,AT5G44283,5,-1,tRNA,na
AT4G08345,AT4G08345,4,-1,tRNA,na
AT1G77190,AT1G77190,1,-1,tRNA,na
AT5G06685,AT5G06685,5,-1,tRNA,na
AT3G02715,AT3G02715,3,1,tRNA,na
AT4G12405,AT4G12405,4,-1,tRNA,na
AT1G21800,AT1G21800,1,-1,tRNA,na
AT5G48835,AT5G48835,5,1,tRNA,na
AT4G12065,AT4G12065,4,-1,tRNA,na
AT1G57390,AT1G57390,1,1,tRNA,na
AT1G06480,AT1G06480,1,1,tRNA,na
AT3G29095,AT3G29095,3,1,tRNA,na
AT1G03515,AT1G03515,1,1,tRNA,na
AT1G42120,AT1G42120,1,-1,tRNA,na
AT5G64855,AT5G64855,5,1,tRNA,na
AT4G27885,AT4G27885,4,-1,tRNA,na
AT5G03705,AT5G03705,5,-1,tRNA,na
AT3G61105,AT3G61105,3,1,tRNA,na
AT2G33970,AT2G33970,2,1,tRNA,na
AT3G49925,AT3G49925,3,1,tRNA,na
AT2G33890,AT2G33890,2,1,tRNA,na
AT4G28362,AT4G28362,4,1,tRNA,na
ATMG00190,TRNG,Mt,-1,tRNA,na
AT1G28870,AT1G28870,1,1,tRNA,na
AT3G55735,AT3G55735,3,1,tRNA,na
AT3G61825,AT3G61825,3,1,tRNA,na
AT1G56890,AT1G56890,1,1,tRNA,na
AT1G12590,AT1G12590,1,-1,tRNA,na
AT3G53965,AT3G53965,3,1,tRNA,na
AT1G69130,AT1G69130,1,1,tRNA,na
AT1G79980,AT1G79980,1,-1,tRNA,na
AT1G57310,AT1G57310,1,1,tRNA,na
AT4G31895,AT4G31895,4,-1,tRNA,na
AT2G27560,AT2G27560,2,-1,tRNA,na
ATMG01340,TRNM.2,Mt,1,tRNA,na
AT1G57160,AT1G57160,1,1,tRNA,na
AT1G57470,AT1G57470,1,1,tRNA,na
AT1G13720,AT1G13720,1,1,tRNA,na
AT1G57080,AT1G57080,1,1,tRNA,na
ATCG00940,TRNA.1,Pt,1,tRNA,na
AT1G28910,AT1G28910,1,1,tRNA,na
AT1G56850,AT1G56850,1,1,tRNA,na
AT1G56960,AT1G56960,1,1,tRNA,na
AT1G56730,AT1G56730,1,1,tRNA,na
AT1G28980,AT1G28980,1,1,tRNA,na
AT1G56950,AT1G56950,1,1,tRNA,na
AT5G10235,AT5G10235,5,-1,tRNA,na
AT1G57290,AT1G57290,1,1,tRNA,na
AT5G57885,AT5G57885,5,1,tRNA,na
AT3G46875,AT3G46875,3,1,tRNA,na
AT1G56780,AT1G56780,1,1,tRNA,na
AT1G28780,AT1G28780,1,1,tRNA,na
AT1G20250,AT1G20250,1,1,tRNA,na
AT5G09655,AT5G09655,5,1,tRNA,na
AT5G15805,AT5G15805,5,1,tRNA,na
AT1G33370,AT1G33370,1,-1,tRNA,na
AT1G68970,AT1G68970,1,-1,tRNA,na
AT4G32265,AT4G32265,4,1,tRNA,na
AT4G34035,AT4G34035,4,1,tRNA,na
AT1G17670,AT1G17670,1,-1,tRNA,na
AT1G08240,AT1G08240,1,1,tRNA,na
AT5G05945,AT5G05945,5,1,tRNA,na
AT2G36600,AT2G36600,2,1,tRNA,na
AT1G01270,AT1G01270,1,-1,tRNA,na
AT1G45242,AT1G45242,1,1,tRNA,na
AT3G09585,AT3G09585,3,1,tRNA,na
AT1G28830,AT1G28830,1,1,tRNA,na
AT1G56920,AT1G56920,1,1,tRNA,na
AT3G45935,AT3G45935,3,1,tRNA,na
AT1G20040,AT1G20040,1,-1,tRNA,na
AT5G64735,AT5G64735,5,-1,tRNA,na
AT5G54375,AT5G54375,5,1,tRNA,na
AT1G15650,AT1G15650,1,1,tRNA,na
AT2G36140,AT2G36140,2,1,tRNA,na
AT3G52765,AT3G52765,3,1,tRNA,na
AT1G31110,AT1G31110,1,1,tRNA,na
AT1G50100,AT1G50100,1,1,tRNA,na
AT3G55734,MIR393B,3,1,miRNA,na
